Author,Year,RR,lCI,uCI,events_treat,n_treat,events_control,n_control,ES,J,g,se_es,se_g
DART,1989,0.85,0.69,1.07,127,1015,149,1018,0.089789464,0.999630678,0.089756303,0.06183368,0.061810844
GISSIPrevenzione,1999,0.81,0.7,0.95,262,2836,322,2828,0.116420459,0.999867532,0.116405037,0.043040598,0.043034896
SCIMO,1999,0.29,0.06,1.36,2,111,7,112,0.683908484,0.996602492,0.681584899,0.439860105,0.438365676
Nilsen,2001,1.17,0.8,1.71,42,150,36,150,-0.086742403,0.997481108,-0.086523908,0.107063497,0.106793815
OPACH,2006,1.05,0.84,1.32,62,103,59,103,-0.026955892,0.996319018,-0.026856668,0.063702943,0.063468454
JELIS,2007,0.81,0.69,0.95,262,9326,324,9319,0.116420459,0.99995977,0.116415776,0.045068552,0.045066738
GISSI-HF,2008,0.97,0.92,1.01,1635,3494,1687,3481,0.016828291,0.999892438,0.016826481,0.013154237,0.013152822
SU.FL.OM3,2010,1.06,0.78,1.44,81,1253,76,1248,-0.032192767,0.99969985,-0.032183104,0.086411161,0.086385225
Alphaomega,2010,1.02,0.88,1.17,336,2404,335,2433,-0.010940678,0.999844873,-0.010938981,0.040145045,0.040138817
Omega,2010,1.19,0.97,1.46,182,1752,149,1701,-0.0961068,0.999782656,-0.096085911,0.057629897,0.057617371
DOIT,2010,0.89,0.57,1.38,32,282,36,281,0.064383324,0.998662506,0.064297212,0.124619802,0.124453123
ORIGIN,2012,1.01,0.94,1.1,1034,6281,1017,6255,-0.00549742,0.999940162,-0.005497091,0.022153792,0.022152466
