Author,Year,events_treat,events_control,n_treat,n_control,RR,lCI,uCI,ES,J,g,se_es,se_g
Yokoyama,2007,286,265,9326,9319,1.08,0.91,1.27,-0.042519912,0.99995977,-0.042518202,0.046979307,0.046977417
Tavazzi,2008,955,1014,3494,3481,0.94,0.87,1.01,0.034185306,0.999892438,0.034181629,0.021030048,0.021027786
Einvik,2010,14,24,282,281,0.58,0.31,1.1,0.300954241,0.998662506,0.300551716,0.178499995,0.178261252
ORIGIN,2012,951,964,6281,6255,0.98,0.9,1.07,0.011161717,0.999940162,0.011161049,0.024385382,0.024383923
Sacks,1995,0,1,31,28,0.3,0.01,7.13,0.665178345,0.986784141,0.656387442,0.925905037,0.913668407
Leng,1998,3,3,60,60,1,0.21,4.76,0,0.993630573,0,0.439860105,0.437058448
Marchioli,1999,472,545,5666,5658,0.86,0.77,0.97,0.083327563,0.999933756,0.083322043,0.032543911,0.032541755
von Schacky,1999,,2,112,111,0.5,0.05,5.39,0.382954243,0.996602492,0.381653153,0.65963999,0.657398858
Nilsen,2001,11,11,150,150,1,0.45,2.24,0,0.997481108,0,0.226206951,0.225637161
Svensson,2006,34,30,103,103,1.13,0.75,1.7,-0.067523554,0.996319018,-0.067275001,0.115332947,0.114908408
Garbagnati,2009,0,3,20,18,0.13,0.01,2.34,1.127193828,0.979020979,1.103546405,0.768874889,0.752744647
Kromhout,2010,186,184,2404,2433,1.02,0.84,1.24,-0.010940678,0.999844873,-0.010938981,0.054891302,0.054882787
Rauch,2010,88,70,1919,1885,1.23,0.91,1.68,-0.114372469,0.999802722,-0.114349906,0.086411161,0.086394114
Galan,2010,58,59,1253,1248,0.98,0.69,1.39,0.011161717,0.99969985,0.011158367,0.098710033,0.098680406
Leaf,2005,13,12,200,202,1.09,0.51,2.34,-0.047611987,0.998123827,-0.047522659,0.214721993,0.214319137
Raitt,2005,4,10,100,100,0.4,0.13,1.23,0.506237973,0.996207332,0.504317981,0.316726096,0.315524859
Brouwer,2006,8,14,273,273,0.57,0.24,1.34,0.310562938,0.99862069,0.310134576,0.242387243,0.242052916
