Author,Year,events_treat,n_treat,events_control,events_treat,RR,lCI,uCI,ES,J,g,se_es,se_g
Bisgard,2016,15,365,18,371,0.85,0.43,1.65,0.089789464,0.998060763,0.089615341,0.189528887,0.189161345
Borod,1999,6,37,4,16,0.65,0.21,1.99,0.238001611,0.957746479,0.227945205,0.316944186,0.303552178
Bulstra-Ramakers,1994,8,32,10,31,0.78,0.35,1.7,0.137271469,0.980645161,0.134614602,0.222749235,0.21843796
Carlson,2013,12,154,13,147,0.88,0.42,1.87,0.070626172,0.995245642,0.07029039,0.210485821,0.209485096
Dilli,2017,6,52,9,68,0.87,0.33,2.29,0.076940369,0.989966555,0.076168392,0.273031689,0.270292241
Farshbaf-Khalili,2016,3,75,4,75,0.75,0.17,3.24,0.158940372,0.990228013,0.157387208,0.415425946,0.411366409
Harper,2010,167,434,174,418,0.92,0.78,1.09,0.046067187,0.998728275,0.046008602,0.047164147,0.047104167
Hauner,2012,3,92,4,96,0.78,0.18,3.4,0.137271469,0.992327366,0.136218235,0.41416364,0.410985914
Helland,2001,1,301,2,289,0.48,0.04,5.27,0.405507832,0.997402597,0.404454564,0.687916646,0.68612985
Horvaticek,2017,4,51,4,47,0.92,0.24,3.48,0.046067187,0.984615385,0.045358461,0.376895457,0.371097066
Jamilian,2018,0,20,1,20,0.33,0.01,7.72,0.612520787,0.96,0.588019956,0.937110237,0.899625827
Makrides,2010,67,1197,88,1202,0.76,0.56,1.04,0.151622567,0.999417589,0.15153426,0.087247605,0.087196791
Makrides,2019,211,2734,246,2752,0.86,0.72,1.03,0.083327563,0.999749645,0.083306702,0.050465508,0.050452873
Malcom,2003,0,31,1,32,0.34,0.01,8.13,0.596027437,0.975609756,0.581490183,0.944403415,0.921369185
Mardones,2007,22,493,32,477,0.67,0.39,1.13,0.221258324,0.99851998,0.220930857,0.149936037,0.149714129
Miller,2016,3,60,10,55,0.28,0.08,0.95,0.703295953,0.988047809,0.694890026,0.348747794,0.344579494
Min,2014,8,60,15,57,0.51,0.23,1.1,0.372013565,0.989247312,0.368013419,0.220569702,0.218197985
Min,2016,12,58,5,56,2.32,0.87,6.15,-0.464954246,0.987234043,-0.45901866,0.275639045,0.272120248
Olsen,1992,9,266,15,267,0.6,0.27,1.35,0.282224102,0.997319035,0.281467469,0.226834749,0.226226613
Olsen,2000,152,394,167,403,0.93,0.79,1.1,0.040094305,0.998678996,0.040041341,0.04665584,0.046594207
Olsen,2019,96,3401,50,1717,0.97,0.69,1.36,0.016828291,0.999575011,0.01682114,0.095634849,0.095594205
Onwude,1995,21,113,19,119,1.16,0.66,2.05,-0.082000003,0.994475138,-0.081546964,0.159735488,0.158852972
Pellonpera,2019,15,191,7,188,2.11,0.88,5.06,-0.412534778,0.996108949,-0.410929584,0.246532847,0.245573575
Ramakrishnan,2010,49,487,40,486,1.22,0.82,1.82,-0.109862353,0.998568019,-0.109705032,0.112369974,0.112209062
Razavi,2017,0,60,1,60,0.33,0.01,8.02,0.612520787,0.987234043,0.604701373,0.942483455,0.930451751
Smuts1,2003,14,142,17,149,0.86,0.44,1.69,0.083327563,0.995419847,0.08294591,0.189664714,0.188796021
Smuts2,2003,1,18,5,19,0.21,0.03,1.64,0.862236325,0.965517241,0.832504038,0.563938175,0.544492031
Soldo,2018,0,45,1,45,0.33,0.01,7.97,0.612520787,0.982857143,0.602020431,0.941602024,0.925460275
Taghizadeh,2016,3,29,2,30,1.55,0.28,8.62,-0.242129796,0.974789916,-0.236025684,0.483009748,0.470833031
Tofail,2006,30,125,27,124,1.1,0.7,1.74,-0.052657558,0.994957983,-0.052392058,0.128334657,0.127687591
VanGoor,2009,1,86,3,39,0.15,0.02,1.41,1.048132588,0.981132075,1.028356502,0.599787562,0.588470816
