Author,Year,n_treat,n_control,p_value,g,lCI,uCI,se_g
Sauder,2013,52,26,0.22,-0.29,-0.759,0.178,0.239030612
van de Rest,2008,196,106,0.08,-0.214,-0.45,0.023,0.120663265
Freund-Levi,2008,36,24,0.57,-0.149,-0.659,0.362,0.260459184
Cohen,2014,177,178,0.19,-0.139,-0.347,0.069,0.106122449
Matsuoka,2015,53,57,0.57,-0.107,-0.479,0.264,0.189540816
Cornu,2018,79,81,0.63,-0.077,-0.385,0.232,0.157397959
Widenhorn-MÜller,2014,46,49,0.69,0.081,-0.318,0.481,0.203826531
Fux,2004,6,5,0.77,0.165,-0.922,1.252,0.554591837
Bellino,2014,18,16,0.61,0.172,-0.487,0.831,0.33622449
Rogers,2008,109,109,0.14,0.2,-0.065,0.465,0.135204082
Watanabe,2018,40,40,0.33,0.217,-0.219,0.652,0.222193878
Gabbay,2012,17,16,0.37,0.306,-0.364,0.976,0.341836735
Nishi,2013,86,86,0.01,0.382,0.082,0.683,0.153316327
Pomponi,2014,12,12,0.23,0.477,-0.308,1.261,0.400255102
Kiecolt-Glaser,2011,34,34,0.01,0.607,0.126,1.088,0.245408163
Haberka,2013,26,26,0.03,0.61,0.062,1.158,0.279591837
Buydens-Branchey,2008,11,11,0.02,1.01,0.153,1.868,0.4375
Yehuda,2005,88,38,<.001,1.65,1.22,2.079,0.219132653
Sohrabi,2013,63,61,<.001,2.459,1.994,2.923,0.236989796
