Author,Year,n_treat,n_control,wmd,lCI,uCI,se_wmd,pooled_sd,d,J,g,se_g
Woodman,2003,10,8,-0.6,-2.32,1.12,0.87755102,1.850039992,-0.324317314,0.952380952,-0.308873632,0.451753951
Woodman,2003,12,8,-2.7,-5.13,-0.27,1.239795918,2.716256765,-0.994015012,0.957746479,-0.952014377,0.437149459
Dyerberg,2004,26,24,0.2,-1.09,1.49,0.658163265,2.325096228,0.086017945,0.984293194,0.084666878,0.278623145
Engler,2004,20,20,1.1,-0.32,2.52,0.724489796,2.291037897,0.480131735,0.98013245,0.470592694,0.309945095
Ros,2004,20,20,2.3,0.4,4.2,0.969387755,3.065473242,0.750291984,0.98013245,0.735385521,0.309945095
Shah,2007,14,12,10.5,4.3,16.7,3.163265306,8.040880077,1.30582721,0.968421053,1.264590562,0.380974805
Wright,2008,27,29,5.9,4.3,7.5,0.816326531,3.052465603,1.932863713,0.986046512,1.905893522,0.263700245
Schiano,2008,16,16,3.6,0.74,6.46,1.459183673,4.127194682,0.87226319,0.974789916,0.850273362,0.34464028
Mindrescu,2008,14,16,10.95,7.9,14,1.556122449,4.252136032,2.575176315,0.972972973,2.505576956,0.356071648
Rizza,2009,26,24,4,2.11,5.89,0.964285714,3.406536334,1.174213221,0.984293194,1.155770081,0.278623145
Wong,2010,49,48,0.2,-1.31,1.71,0.770408163,3.793618613,0.052720112,0.992084433,0.052302803,0.201472532
Stirban,2010,31,31,-0.69,-2.28,0.9,0.81122449,3.19379401,-0.21604399,0.987447699,-0.21333214,0.250811966
Skulas-Ray,2010,26,26,-0.92,-2.16,0.32,0.632653061,2.281063052,-0.403320723,0.984924623,-0.397240511,0.273168941
Moertl,2011,27,16,2.63,-1.09,6.35,1.897959184,6.01581558,0.437180955,0.981595092,0.42913468,0.309688253
Haberka,2011,20,20,10.3,5.75,14.85,2.321428571,7.341001711,1.403078273,0.98013245,1.375202545,0.309945095
Sanders,2011,239,71,-0.4,-1.1,0.3,0.357142857,2.64234333,-0.151380782,0.997562957,-0.151011861,0.134832018
