Author,Year,Age,ES,CI_upper,CI_lower,SE,n_control,n_treatment,pooled_sd,d,J,g,se_g
Antonio,2000,Younger,0.49,1.44,-0.47,0.487244898,9,10,1.060453804,0.462066332,0.955223881,0.441376795,0.438895085
Ballard,2006,Younger,1.89,3.89,-0.11,1.020408163,21,29,3.56120987,0.530718511,0.984293194,0.522382618,0.282033591
Bird 2006a,2006,Younger,1.19,2.58,-0.21,0.711734694,8,8,1.423469388,0.835985663,0.945454545,0.790386445,0.472727273
Bird 2006b,2006,Younger,1.17,2.53,-0.2,0.696428571,8,8,1.392857142,0.840000001,0.945454545,0.794181819,0.472727273
Cribb,2007,Younger,1.48,2.62,0.34,0.581632653,7,5,0.99332686,1.489942596,0.923076923,1.375331627,0.540498502
Hartman,2007,Younger,0.89,2.1,-0.32,0.617346939,19,37,2.187323143,0.406890039,0.986046512,0.401212504,0.27830035
Hoffman 2007,2007,Younger,1.29,2.7,-0.13,0.721938776,10,11,1.652293004,0.780733197,0.96,0.749503869,0.419454191
Hoffman 2009,2009,Younger,1.24,3.9,-1.43,1.359693878,7,26,3.193154014,0.388330783,0.975609756,0.378859301,0.415429574
Josse,2010,Younger,0.79,1.27,0.3,0.24744898,10,10,0.55331274,1.42776398,0.957746479,1.367435924,0.428317246
Kerksick,2006,Younger,0.49,2.04,-1.07,0.793367347,11,25,2.192751509,0.223463533,0.977777778,0.218497677,0.353773311
Mielke,2009,Younger,0.6,4.4,-3.22,1.943877551,13,13,4.955934782,0.121066968,0.968421053,0.117243801,0.379845988
Rozenek,2002,Younger,-0.61,0.85,-2.08,0.74744898,25,26,2.66841359,-0.228600245,0.984615385,-0.225083318,0.275800486
Walberg,2004,Younger,0.79,2.04,-0.47,0.640306122,9,10,1.393580653,0.566885023,0.955223881,0.541502111,0.438895085
Walker,2010,Younger,0.7,1.44,-0.06,0.382653061,12,18,1.026765907,0.681752282,0.972972973,0.663326544,0.362605618
White,2009,Younger,-0.16,1.11,-1.43,0.647959184,10,10,1.448880782,-0.110430066,0.957746479,-0.105764007,0.428317246
Willoughby,2007,Younger,2.92,5.32,0.5,1.229591837,9,10,2.676119025,1.091132335,0.955223881,1.042275663,0.438895085
Bemben,2010,Older,-0.6,1.06,-2.27,0.849489796,10,11,1.944217562,-0.308607438,0.96,-0.29626314,0.419454191
Campbell,1995,Older,0.8,3.59,-2,1.426020408,6,6,2.469939799,0.323894534,0.923076923,0.29897957,0.53293871
Holm,2008,Older,0.27,1.18,-0.65,0.466836735,16,13,1.250252385,0.215956397,0.971962617,0.209901545,0.362925006
Iglay,2009,Older,0.7,1.49,-0.09,0.403061224,18,18,1.209183672,0.578902954,0.977777778,0.566038444,0.325925926
Kukuljan,2009,Older,0.69,1.29,0.1,0.303571429,46,45,1.447856004,0.476566729,0.991549296,0.472539404,0.207897771
Verdijk,2009,Older,0.1,1.07,-0.88,0.49744898,13,13,1.268251028,0.078848743,0.968421053,0.076358783,0.379845988
