Author,Year,N_Exp,N_Ctrl,d,CI_lower,CI_upper,se_d,J,g,se_g
Campbell,1995,6,6,0.54,-0.62,1.7,0.591836735,0.923076923,0.498461538,0.546310832
Verdijk,2009,13,13,0.11,-0.66,0.88,0.392857143,0.968421053,0.106526316,0.380451128
Tieland,2012,31,31,0.23,-0.27,0.73,0.255102041,0.987447699,0.227112971,0.251899923
Iglay,2009,18,18,0.17,-0.48,0.83,0.334183673,0.977777778,0.166222222,0.32675737
Kukuljan,2009,43,44,0.39,-0.04,0.81,0.216836735,0.991150442,0.386548673,0.214917826
Candowb,2006,10,10,0.06,-0.84,0.96,0.459183673,0.957746479,0.057464789,0.439781546
Candowa,2006,9,10,0.19,-0.69,1.07,0.448979592,0.955223881,0.181492537,0.428876028
Leendersw,2013,12,12,0.06,-0.48,0.6,0.275510204,0.965517241,0.057931034,0.266009852
Leendersm,2013,15,14,0.22,-0.32,0.76,0.275510204,0.971962617,0.213831776,0.267785619
Chale,2013,42,38,0.28,-0.16,0.72,0.224489796,0.990353698,0.277299035,0.222324299
