Subgroup,Author,Year,HP_Mean,HP_SD,HP_N,SP_Mean,SP_SD,SP_N,Weight_%,d,CI_Lower,CI_Upper,se_d,J,g,se_g
>=12 Weeks,Arnarson,2013,0.7,1.1,75,0.9,1.5,66,8.4,-0.15,-0.48,0.18,0.168367347,0.994594595,-0.149189189,0.167457253
>=12 Weeks,Brennan,2011,0.4,2.8,40,0.2,5.3,40,7.6,0.05,-0.39,0.49,0.224489796,0.990353698,0.049517685,0.222324299
>=12 Weeks,Candow,2006,1,2,19,0.4,1.6,10,5.3,0.31,-0.46,1.08,0.392857143,0.971962617,0.301308411,0.381842457
>=12 Weeks,Chale,2013,0.6,1.7,42,0.3,1.6,38,7.6,0.18,-0.26,0.62,0.224489796,0.990353698,0.178263666,0.222324299
>=12 Weeks,Godard,2014,0.7,0.8,17,-0.9,0.5,9,4.7,0.98,0.12,1.84,0.43877551,0.968421053,0.949052632,0.424919441
>=12 Weeks,Hofmann,2016,0.5,1.7,24,0.3,1.9,26,6.8,0.11,-0.45,0.66,0.283163265,0.984293194,0.108272251,0.278715675
>=12 Weeks,Leenders M,2013,1.4,0.3,15,1,0.3,14,5,1.3,0.48,2.11,0.415816327,0.971962617,1.263551402,0.404157925
>=12 Weeks,Leenders W,2013,1.3,0.7,12,1.1,0.6,12,5,0.3,-0.51,1.1,0.410714286,0.965517241,0.289655172,0.396551724
>=12 Weeks,Maltais,2016,2.3,1.3,16,1.6,1.03,10,5,0.56,-0.25,1.37,0.413265306,0.968421053,0.542315789,0.400214823
>=12 Weeks,Stout,2013,0.9,0.3,24,0.7,0.2,24,6.5,0.77,0.18,1.36,0.301020408,0.983606557,0.757377049,0.296085647
>=12 Weeks,Tieland,2012,1.3,2.1,31,-0.3,1.9,31,7,0.79,0.27,1.31,0.265306122,0.987447699,0.780083682,0.26197592
>=12 Weeks,Tromijk,2009,0.7,0.2,13,0.6,0.1,13,5.2,0.38,-0.4,1.16,0.397959184,0.968421053,0.368,0.385392052
>=12 Weeks,Verreijen,2015,0.7,1.1,30,-0.5,1.8,30,6.9,0.86,0.33,1.39,0.270408163,0.987012987,0.848831169,0.266896369
>=12 Weeks,Vukovich,2001,0.8,1.7,14,0.3,1.6,17,5.6,0.3,-0.42,1.01,0.364795918,0.973913043,0.292173913,0.355279503
>=12 Weeks,Zdzieblik,2015,4.2,1.3,26,2.9,1.5,27,6.7,0.91,0.34,1.48,0.290816327,0.985221675,0.896551724,0.286518548
