Author,Year,events_treatment,n_treatment,events_control,n_control,OR,d,CI_lower_OR,CI_upper_OR,J,g,se_d,se_g
Delmi,1990,4,25,10,27,0.35,0.580012223,0.1,1.18,0.984924623,0.571268321,0.347854822,0.342610779
Madigan,1994,6,18,4,12,1,0,0.22,4.59,0.972972973,0,0.428177889,0.416605513
Hankins,1996,4,17,4,12,0.62,0.264108177,0.12,3.16,0.971962617,0.256703275,0.460992722,0.448067693
Saudny-Unterberger,1997,0,14,1,10,0.09,1.33035669,0.001,4.83,0.965517241,1.284482321,1.195540893,1.154315345
Garlballa,1998,9,20,11,20,0.68,0.213073194,0.2,2.3,0.98013245,0.208839952,0.344225256,0.337386343
MacFie,2000,19,75,3,25,2.16,-0.425474156,0.73,6.4,0.992327366,-0.422209648,0.30598274,0.303635046
Potter,2001,37,130,44,138,0.85,0.089789464,0.51,1.43,0.997177799,0.08953606,0.145312183,0.144902082
Tidermark,2004,7,18,12,18,0.34,0.596027437,0.09,1.23,0.977777778,0.582782383,0.368553357,0.360363282
Vermeeren,2004,4,29,5,27,0.71,0.189221165,0.17,2.92,0.986046512,0.18658087,0.400769599,0.395177465
FOOD,2005,15,2016,26,2007,0.58,0.300954241,0.31,1.07,0.999813468,0.300898103,0.174602778,0.174570209
