Author,Year,group,weight_%,n_tot_est,n_exp_est,n_ctrl_est,d,CI_lower,CI_upper,se_d,J,g,se_g
Antonio,2015,HP,2.67,45.79597784,22.89798892,22.89798892,-0.14,-0.72,0.44,0.295918367,0.982776825,-0.137588755,0.290821713
Bridge,2019,GY,2.09,30.56673728,15.28336864,15.28336864,0.67,-0.06,1.4,0.37244898,0.973513898,0.652254311,0.362584258
Burke,2001,Whey,1.87,24.59117972,12.29558986,12.29558986,-0.29,-1.09,0.5,0.405612245,0.966429705,-0.280264614,0.391995722
Candow S,2006,S (soy),1.51,19.81224687,9.906123437,9.906123437,0.91,-0.02,1.84,0.474489796,0.957294758,0.87113823,0.454226595
Candow W,2006,W (whey),1.42,20.02473068,10.01236534,10.01236534,1.24,0.27,2.2,0.492346939,0.957805268,1.187678532,0.471572492
Candow A,2006,PRO-A,1.72,21.82407263,10.91203632,10.91203632,-0.32,-1.16,0.53,0.431122449,0.961684009,-0.307738883,0.414603565
Candow B,2006,PRO-B,1.68,20.81800868,10.40900434,10.40900434,0.12,-0.74,0.98,0.43877551,0.959607947,0.115152954,0.421052466
Herda,2013,BWPMV,2.31,34.2330496,17.1165248,17.1165248,0.02,-0.65,0.69,0.341836735,0.976550079,0.019531002,0.33382069
Herda,2013,SWPMV,2.59,42.68444444,21.34222222,21.34222222,0,-0.6,0.6,0.306122449,0.981451458,0,0.300444324
Hida,2012,Prot,2.64,44.14421492,22.07210746,22.07210746,-0.01,-0.6,0.58,0.301020408,0.982097767,-0.009820978,0.29563147
Hoffman,2007,PR,2.19,31.52742066,15.76371033,15.76371033,-0.2,-0.9,0.5,0.357142857,0.974382989,-0.194876598,0.347993925
Hoffman,2009,AM/PM,1.75,22.8447364,11.4223682,11.4223682,0.42,-0.38,1.28,0.423469388,0.963582928,0.40470483,0.408047873
Hoffman,2009,PRE/POST,1.63,19.90501738,9.952508692,9.952508692,-0.15,-1.03,0.73,0.448979592,0.957519158,-0.143627874,0.429906561
Kerksick,2006,WC,1.63,19.91356204,9.956781018,9.956781018,-0.16,-1.04,0.72,0.448979592,0.957539708,-0.153206353,0.429915787
Kirmse,2019,COL,1.77,22.52876798,11.26438399,11.26438399,0.27,-0.56,1.1,0.423469388,0.963015505,0.260014186,0.407807586
Lockwood,2017,WPC,2.98,56.90202578,28.45101289,28.45101289,0.1,-0.42,0.62,0.265306122,0.986276812,0.098627681,0.261665276
Lockwood,2017,WPC-L,2.11,29.64197527,14.82098764,14.82098764,0,-0.72,0.72,0.367346939,0.972619718,0,0.357288876
Lockwood,2017,WPH,2.2,31.36000003,15.68000001,15.68000001,0,-0.7,0.7,0.357142857,0.974235658,0,0.347941306
Mobley,2017,SPC,2.14,30.37333014,15.18666507,15.18666507,0.28,-0.44,0.99,0.364795918,0.97333175,0.27253289,0.355067449
Mobley,2017,WPC,2.15,30.51586926,15.25793463,15.25793463,0.09,-0.62,0.8,0.362244898,0.973466233,0.087611961,0.352633176
Mobley,2017,WPH,2.28,33.77079214,16.88539607,16.88539607,0.1,-0.58,0.77,0.344387755,0.976206182,0.097620618,0.336193455
Nabuco,2018,WP-PLA,2.74,31.715297,15.8576485,15.8576485,0.44,-0.27,1.14,0.359693878,0.974546328,0.428800384,0.350538348
Nabuco,2018,WP-PLA,3.42,46.67348229,23.33674114,23.33674114,0.18,-0.4,0.75,0.293367347,0.983117037,0.176961067,0.288414437
Naclerio B,2017,Beef,2.67,45.09174471,22.54587235,22.54587235,0.18,-0.41,0.76,0.298469388,0.98249371,0.176848868,0.293244296
Naclerio W,2017,Whey,1.51,17.98983048,8.994915241,8.994915241,0.11,-0.82,1.03,0.471938776,0.952350186,0.10475852,0.449450981
