Author,Year,Group,resistance_exercise,n_tot_est,n_exp_est,n_ctrl_est,d,CI_lower,CI_upper,se_d,J,g,se_g
Amasene,2019,Protein Group,yes,29.61114768,14.80557384,14.80557384,0.31,-0.41,1.04,0.369897959,0.972588869,0.301502549,0.359758638
Antonio,2014,High Protein,yes,27.93794536,13.96897268,13.96897268,0.26,-0.49,1,0.380102041,0.970803426,0.252408891,0.369004364
Antonio,2015,HP,yes,44.90145365,22.45072682,22.45072682,0,-0.59,0.58,0.298469388,0.982415605,0,0.293220984
Arastizabal,2015,Soy,yes,44.66353343,22.33176671,22.33176671,-0.3,-0.89,0.29,0.301020408,0.982316965,-0.294695089,0.295697454
Arastizabal,2015,Whey,yes,41.26089963,20.63044982,20.63044982,0.61,-0.02,1.23,0.318877551,0.980774604,0.598272508,0.312747004
Arnarson,2013,Whey protein,yes,145.8955607,72.94778035,72.94778035,-0.15,-0.48,0.17,0.165816327,0.994778815,-0.149216822,0.164950569
Bridge,2019,GY,yes,30.56673728,15.28336864,15.28336864,0.67,-0.06,1.4,0.37244898,0.973513898,0.652254311,0.362584258
Brown,2004,Soy,yes,19.87575897,9.937879485,9.937879485,0.97,0.03,1.9,0.477040816,0.957448641,0.928725182,0.456742081
Brown,2004,Whey,yes,19.89399258,9.946996292,9.946996292,1.06,0.12,2.01,0.482142857,0.957492614,1.014942171,0.461648225
Burke,2001,Whey,yes,24.9745203,12.48726015,12.48726015,0.99,0.16,1.83,0.426020408,0.966996003,0.957326043,0.411960032
Candow a,2006,S (soy),yes,19.90501738,9.952508692,9.952508692,0.15,-0.73,1.03,0.448979592,0.957519158,0.143627874,0.429906561
Candow a,2006,W (whey),yes,19.86361505,9.931807525,9.931807525,0.65,-0.26,1.55,0.461734694,0.957419303,0.622322547,0.442073709
Candow b,2006,PRO-A,yes,21.80205478,10.90102739,10.90102739,0.09,-0.75,0.93,0.428571429,0.96164086,0.086547677,0.412131798
Candow b,2006,PRO-B,yes,20.78382005,10.39191002,10.39191002,0.05,-0.81,0.91,0.43877551,0.959533437,0.047976672,0.421019773
Chale,2013,Whey,yes,81.24449376,40.62224688,40.62224688,0.06,-0.38,0.49,0.221938776,0.990505667,0.05943034,0.219831615
Coburn,2006,SUPP,yes,24.7425714,12.3712857,12.3712857,0.19,-0.6,0.98,0.403061224,0.966655658,0.183664575,0.389621413
Deibert,2011,PLC,yes,27.48045529,13.74022765,13.74022765,0.21,-0.54,0.96,0.382653061,0.97027402,0.203757544,0.371278324
Dulac,2020,S-PROT+MPT (casein),yes,40.09335853,20.04667927,20.04667927,0.15,-0.47,0.77,0.316326531,0.980181463,0.147027219,0.310057402
Dulac,2020,F-PROT+MPT (whey),yes,41.30510519,20.65255259,20.65255259,0.04,-0.57,0.65,0.31122449,0.980796365,0.039231855,0.305247848
Eliot,2008,Whey protein,yes,22.67717689,11.33858845,11.33858845,0.18,-0.65,1,0.420918367,0.963284207,0.173391157,0.405464015
Erskine,2012,PRO,yes,34.75944416,17.37972208,17.37972208,0.05,-0.61,0.72,0.339285714,0.976929781,0.048846489,0.331458318
Gryson,2014,PRO10,yes,20.82793719,10.4139686,10.4139686,0.32,-0.54,1.19,0.441326531,0.959629533,0.307081451,0.423509973
Gryson,2014,PRO10,yes,18.75976482,9.379882408,9.379882408,0.28,-0.63,1.19,0.464285714,0.954572339,0.267280255,0.4431943
Gryson,2014,TMP10fl,yes,19.73013525,9.865067625,9.865067625,0.35,-0.54,1.24,0.454081633,0.957094153,0.334982954,0.434598876
Hartman,2007,Milk,yes,38.50267629,19.25133814,19.25133814,0.28,-0.36,0.91,0.323979592,0.979311872,0.274207324,0.317277061
Hartman,2007,Soy,yes,39.99396161,19.9969808,19.9969808,0.06,-0.56,0.68,0.316326531,0.980129272,0.058807756,0.310040892
Haun,2018,Soy,yes,31.81327042,15.90663521,15.90663521,-0.01,-0.7,0.69,0.354591837,0.974630682,-0.009746307,0.345596084
Haun,2018,Whey,yes,33.72642897,16.86321448,16.86321448,-0.01,-0.69,0.66,0.344387755,0.976172646,-0.009761726,0.336181906
Herda,2013,BWPMV,yes,42.68444444,21.34222222,21.34222222,0,-0.6,0.6,0.306122449,0.981451458,0,0.300444324
