Author,Year,group,weight_%,n_tot_est,n_exp_est,n_ctrl_est,d,CI_lower,CI_upper,se_d,J,g,se_g
Antonio,2015,HP - Squat,1.07,45.75120133,22.87560067,22.87560067,-0.11,-0.69,0.47,0.295918367,0.982759097,-0.108103501,0.290816467
Bridge,2019,GY - Leg extension,0.99,31.02450217,15.51225108,15.51225108,0.95,0.2,1.69,0.380102041,0.973935257,0.925238494,0.370194779
Bridge,2019,GY - Leg curl,1.04,30.66934245,15.33467122,15.33467122,0.39,-0.33,1.1,0.364795918,0.973609523,0.379707714,0.35516878
Burke,2001,Whey - Squat,0.91,24.65518936,12.32759468,12.32759468,0.1,-0.69,0.89,0.403061224,0.966525612,0.096652561,0.389568997
Burke,2001,Whey - Leg curl,0.83,24.64319755,12.32159878,12.32159878,1.08,0.23,1.93,0.433673469,0.966507686,1.043828301,0.419148741
Campbell,2018,High PRO - Squat,0.64,18.76418297,9.382091487,9.382091487,-0.03,-0.94,0.87,0.461734694,0.954584493,-0.028637535,0.440764778
Candow aS,2006,S (soy) - Squat,0.65,20.04532287,10.02266144,10.02266144,1.13,0.18,2.08,0.484693878,0.957854094,1.082375127,0.464266015
Candow aW,2006,W (whey) - Squat,0.59,19.76837167,9.884185837,9.884185837,1.56,0.54,2.58,0.520408163,0.957187802,1.493212971,0.498128346
Hartman,2007,Milk - Leg Press,1.64,38.77779183,19.38889592,19.38889592,0.11,-0.52,0.74,0.321428571,0.979467689,0.107741446,0.3148289
Hartman,2007,Milk - Leg extension,1.53,39.14617688,19.57308844,19.57308844,0.84,0.19,1.5,0.334183673,0.979672691,0.82292506,0.327390619
Hartman,2007,Milk - Leg curl,1.59,38.63117977,19.31558989,19.31558989,0.59,-0.06,1.23,0.329081633,0.979384946,0.577837118,0.322297597
Hartman,2007,Soy - Leg Press,1.67,39.80394934,19.90197467,19.90197467,0.3,-0.32,0.93,0.318877551,0.980028732,0.294008619,0.312509162
Hartman,2007,Soy - Leg extension,1.62,39.35399802,19.67699901,19.67699901,0.61,-0.03,1.25,0.326530612,0.979786545,0.597669792,0.3199303
Hartman,2007,Soy - Leg curl,1.68,40.06391039,20.03195519,20.03195519,-0.13,-0.75,0.49,0.316326531,0.980166029,-0.127421584,0.310052519
Hoffman,2007,PR - Squat,0.66,22.75553983,11.37776992,11.37776992,1.08,0.19,1.96,0.451530612,0.963424518,1.04049848,0.435015663
Hoffman,2009,AM/PM - Squat,0.74,19.84407856,9.922039279,9.922039279,0.02,-0.86,0.9,0.448979592,0.957372022,0.01914744,0.4298405
Hoffman,2009,PRE/POST - Squat,0.73,19.94534985,9.972674924,9.972674924,0.45,-0.44,1.34,0.454081633,0.957615983,0.430927193,0.434835829
Kerksick,2006,WC - Leg Press,0.72,22.71336827,11.35668413,11.35668413,0.21,-0.61,1.04,0.420918367,0.963349142,0.20230332,0.405491348
Kirmse,2019,COL - Isometric knee extension torque,1.75,55.93613003,27.96806502,27.96806502,0.16,-0.36,0.69,0.267857143,0.986029911,0.157764786,0.264115155
Kirmse,2019,COL - Squat,0.78,54.54579268,27.27289634,27.27289634,0.52,-0.02,1.06,0.275510204,0.985658502,0.512542421,0.271558975
Lockwood,2017,WPC - Squat,1.13,29.36493918,14.68246959,14.68246959,0.37,-0.36,1.1,0.37244898,0.972339971,0.359765789,0.36214703
Lockwood,2017,WPC-L - Squat,1.2,31.84721499,15.9236075,15.9236075,0.09,-0.6,0.79,0.354591837,0.974659778,0.08771938,0.345606401
Lockwood,2017,WPH - Squat,1.14,29.31139995,14.65569998,14.65569998,-0.14,-0.87,0.58,0.369897959,0.972285248,-0.136119935,0.359646329
Mori,2018,EX+PRO - Leg extension,1.12,51.20095173,25.60047587,25.60047587,0.45,-0.11,1,0.283163265,0.984678541,0.443105343,0.278824791
Naclerio aB,2017,Beef - Squat,0.68,17.96836342,8.984181711,8.984181711,0.06,-0.87,0.98,0.471938776,0.952285109,0.057137107,0.449420268
Naclerio aW,2017,Whey - Squat,0.68,17.80270566,8.90135283,8.90135283,-0.12,-1.05,0.81,0.474489796,0.951776879,-0.114213226,0.451608417
Oertzen-Hagemann,2019,COL - Squat,0.78,26.70715522,13.35357761,13.35357761,0.57,-0.2,1.35,0.395408163,0.969334128,0.552520453,0.383282627
Rozenek,2002,CHO - Leg Press,1.55,46.47925253,23.23962626,23.23962626,0.02,-0.55,0.6,0.293367347,0.983042897,0.019660858,0.288392687
Rozenek,2002,CHO/PRO - Leg Press,1.6,52.6520892,26.3260446,26.3260446,0.53,-0.02,1.08,0.280612245,0.985119664,0.522113422,0.276436641
Snijders,2015,PRO - Leg Press,1.35,40.86315431,20.43157716,20.43157716,0.21,-0.4,0.83,0.31377551,0.980576567,0.205921079,0.307680913
Snijders,2015,PRO - Leg extension,1.35,40.84126698,20.42063349,20.42063349,0.2,-0.42,0.81,0.31377551,0.980565551,0.19611311,0.307677456
Spillane,2016,HPC - Lower-Body,0.7,22.80526883,11.40263441,11.40263441,0.66,-0.18,1.51,0.431122449,0.963513005,0.635918583,0.415392086
Vangsoe,2018,Pro - Leg Press,0.66,20.01284396,10.00642198,10.00642198,-0.38,-1.26,0.51,0.451530612,0.957777032,-0.363955272,0.432465649
Willoughby,2007,PRO - Leg Press,0.62,20.92145701,10.4607285,10.4607285,1.05,0.13,1.97,0.469387755,0.959831737,1.007823324,0.450533264
