Author,Year,mean_treat,sd_treat,n_treat,mean_control,sd_control,n_control,weight,ES,CI_Lower,CI_Upper,SE,pooled_sd,d,J,g,se_g
Poon,2004,61,8.5,21,63,,20,0.031,-2,-7.05,3.05,2.576530612,8.246468865,-0.242528048,0.980645161,-0.237833957,0.306393236
Baldwin,2011,0.06,3.3,159,-0.55,3.2,176,0.114,0.61,-0.09,1.31,0.357142857,3.264182719,0.186876794,0.997746056,0.186455584,0.109166033
Okabayashi,2011,60.1,9.3,40,56.1,10.6,38,0.037,4,-0.43,8.43,2.260204082,9.977509443,0.40090165,0.99009901,0.396932327,0.224287016
Sultan,2012,82.8,15.3,104,60.6,15.2,53,0.031,2.2,-2.84,7.24,2.571428571,15.23629046,0.144392102,0.995153473,0.143692301,0.167952041
Sanchez-Lara,2014,-0.33,3,44,-2.2,3,40,0.102,1.87,0.59,3.15,0.653061224,2.989307482,0.625562948,0.990825688,0.619823838,0.216461452
Rotovnik-Kozjek,2011,-2.3,1.1,33,-2.7,2.6,40,0.111,0.4,-0.49,1.29,0.454081633,1.930898614,0.207157433,0.989399293,0.204961418,0.232673038
Wada,2018,-1.9,2.5,30,-1.4,3.2,30,0.097,-0.5,-1.95,0.95,0.739795918,2.865217271,-0.174506836,0.987012987,-0.172240513,0.254845657
Chang,2019,1.3,2.1,30,-4,2.7,30,0.103,5.3,4.08,6.52,0.62244898,2.410734532,2.198500055,0.987012987,2.169948106,0.254845657
Ritch,2019,-4.6,33,31,-65,3.3,30,0.092,1.9,0.24,3.56,0.846938776,3.306957195,0.574546294,0.987234043,0.56721166,0.25283871
Yi,2020,-0.3,2.3,62,-2.1,23,56,0.112,1.8,0.97,2.63,0.423469388,2.297052259,0.783612995,0.993520518,0.778535589,0.183158883
Laviano,2020,0.8,3.8,25,0.6,3.7,28,0.082,0.2,-1.82,2.22,1.030612245,3.745470521,0.05339783,0.985221675,0.0526087,0.271095852
Katada,2021,49.5,10.2,36,49.5,8.5,35,0.038,0,-4.36,4.36,2.224489796,9.371012477,0,0.989090909,0,0.234790279
Serrano,2022,77.7,16.3,34,81.3,11.7,31,0.019,-3.6,-10.45,3.25,3.494897959,14.0733707,-0.255802258,0.988047809,-0.25274486,0.245365971
Gunsel-Yildirim,2023,73.9,11.4,35,68.2,10.7,35,0.03,5.7,0.52,10.88,2.642857143,11.05586464,0.515563476,0.988929889,0.509856131,0.236399459
