Author,Year,n, CI_lower, CI_upper,md,se_md,pooled_sd,d,J,g,se_g
Anonio,2000,19,0.293685458,1.310039007,0.79711325,0.259273865,0.565074287,1.41063444,0.979020979,1.38104071,0.449205633
Bird,2006,32,-1.766231704,4.31250138,1.273188331,1.550697215,4.386034066,0.290282363,0.987854251,0.286756666,0.34925922
CandowChilibeck,2006,29,-0.720243079,1.150891634,0.210557464,0.477330284,1.285251123,0.163825933,0.986547085,0.161621997,0.366394389
CandowBurke,2006,27,-0.234670034,1.570014587,0.658174312,0.46037873,1.196099026,0.550267409,0.985507246,0.542292519,0.379321916
Coburn,2006,33,0.326922391,2.492458348,1.409726031,0.552432642,1.58674196,0.888440633,0.988235294,0.87798839,0.344059367
Cribb,2006,23,-0.479263428,0.698555521,0.100183744,0.300464018,0.720487404,0.139049959,0.982857143,0.136666245,0.409879762
Erskine,2012,33,-0.620556055,1.089148919,0.224869791,0.436149228,1.252743282,0.179501894,0.988235294,0.177390107,0.344059367
Hartman,2007,56,-0.771310984,1.840593653,0.539479471,0.666302203,2.49307456,0.21639123,0.993166287,0.214912475,0.265434855
Hoffman,2007,21,-0.561178916,0.502628795,-0.019687941,0.271379518,0.621808592,-0.031662382,0.981132075,-0.031064978,0.428201143
Hoffman,2009,33,-0.27506313,0.894506023,0.047903332,0.298359478,0.856972356,0.05589834,0.988235294,0.055240713,0.344059367
Hulmi,2009,31,-1.858762564,2.120920316,0.135845689,1.015225225,2.826267413,0.048065405,0.987447699,0.047462074,0.354701684
Josse,2010,20,-0.603854377,0.355475722,-0.119386852,0.244727066,0.547226356,-0.218167219,0.98013245,-0.213832771,0.438328557
Mielke,2009,39,-0.612104174,1.790845239,0.594137346,0.612997299,1.914083453,0.310403052,0.99009901,0.307329755,0.317085453
Rankin,2004,13,-0.421003697,1.716038365,0.652301979,0.545163791,0.982808002,0.663712523,0.968421053,0.64275318,0.537183348
Verdijk,2009,28,-0.305815614,0.396998113,0.036146778,0.179289216,0.474354679,0.076202005,0.986046512,0.075138722,0.37269055
Vieillevoye,2010,29,-0.133711067,0.227247254,0.046821587,0.092081204,0.247936231,0.188845279,0.986547085,0.18630476,0.366394389
Walker,2010,30,-0.578867241,0.380427196,-0.113466969,0.244717969,0.670187758,-0.16930624,0.987012987,-0.167107458,0.360406185
Weisgarber,2012,17,0.600021567,3.211997527,1.910776361,0.666320398,1.373654691,1.391016515,0.976377953,1.358157857,0.473612874
Willoughby,2007,19,-0.339064434,0.335219737,-0.006600007,0.172011268,0.374889868,-0.017605189,0.979020979,-0.01723585,0.449205633
Wycherly,2010,34,-0.347385555,1.096305083,0.365033123,0.368288428,1.073736054,0.339965415,0.988593156,0.336087483,0.339084655
