Subgroup,Author,Year,HP_Mean,HP_SD,HP_N,SP_Mean,SP_SD,SP_N,Weight_%,ES,CI_Lower,CI_Upper,SE,pooled_sd,d,J,g,se_g
>=12 Weeks,Belobrajdic,2010,-6.5,3.7,34,-5.1,3.3,42,6.1,1.4,-0.19,2.99,0.81122449,3.48405635,0.40183047,0.989830508,0.397744058,0.230471229
>=12 Weeks,Campbell,2010,-6.6,1.8,13,-6.9,2.3,15,6.7,-0.3,-1.82,1.22,0.775510204,2.084189568,-0.143940841,0.970873786,-0.13974839,0.361254341
>=12 Weeks,Farnsworth F,2003,-6.6,8.4,21,-7.1,8.2,22,0.7,-0.5,-5.22,4.22,2.408163265,8.298163182,-0.060254298,0.981595092,-0.059145324,0.284863191
>=12 Weeks,Farnsworth M,2003,-9,7.1,7,-7.6,6.2,7,0.2,1.4,-5.64,8.44,3.591836735,6.665208174,0.210045953,0.936170213,0.196638764,0.504495955
>=12 Weeks,Lasker,2008,-6,3,25,-4.4,2.5,25,6.6,1.6,0.07,3.13,0.780612245,2.761340254,0.579428775,0.984293194,0.570327799,0.27825304
>=12 Weeks,Layman,2009,-5.6,2.9,52,-4.6,2.1,51,16.2,1,0.02,1.98,0.5,2.535705421,0.394367576,0.992555831,0.391431837,0.195715919
>=12 Weeks,Leidy,2007,-6.6,1.8,21,-6.6,3,25,7.8,0,-1.41,1.41,0.719387755,2.526226075,0,0.982857143,0,0.279886033
>=12 Weeks,Luscombe,2003,-7.06,2.69,17,-6.49,3.21,19,4.1,0.57,-1.36,2.5,0.984693878,2.976631535,0.191491622,0.977777778,0.187236252,0.323456827
>=12 Weeks,Noakes,2005,-5.7,2.2,52,-4.5,3.5,48,11.5,1.2,0.04,2.36,0.591836735,2.897201324,0.414192825,0.992327366,0.411014875,0.202711418
>=12 Weeks,Treyzon,2008,-1.65,4.18,44,-0.64,5.06,41,3.9,1.01,-0.97,2.99,1.010204082,4.625046011,0.218376206,0.990936556,0.216396965,0.216440691
>=12 Weeks,Wycherley,2010,-7.1,4,12,-6.5,3.7,16,1.8,0.6,-2.3,3.5,1.479591837,3.829792121,0.156666467,0.970873786,0.152103366,0.375084831
<12 Weeks,Baba,1999,-7.1,2.4,7,-6.3,0.5,6,4.6,0.8,-1.02,2.62,0.928571429,1.804287822,0.443388239,0.930232558,0.412454176,0.478741454
<12 Weeks,Johnston,2004,-2.46,1.79,9,-3.03,1.65,7,5.4,-0.57,-2.26,1.12,0.862244898,1.731386727,-0.329215877,0.945454545,-0.311258647,0.470844177
<12 Weeks,Kasim-Karakas,2009,-3.1,3,11,-0.5,2.2,13,3.4,2.6,0.46,4.74,1.091836735,2.594399563,1.002158664,0.965517241,0.967601469,0.406331857
<12 Weeks,Labayen,2003,-7.9,2.7,6,-4.2,1.6,5,2.3,3.7,1.12,6.28,1.316326531,2.277669374,1.624467555,0.914285714,1.485227479,0.528390361
<12 Weeks,Layman,2003,-5.6,1.8,12,-4.74,2.25,12,5.8,0.86,-0.77,2.49,0.831632653,2.037461656,0.422093833,0.965517241,0.407538873,0.394096086
<12 Weeks,Parker,2002,-4.78,2.55,26,-3.59,2.59,28,8.2,1.19,-0.18,2.56,0.698979592,2.570846912,0.462882482,0.985507246,0.45617404,0.267946508
<12 Weeks,Torbay,2002,-6.4,1.9,7,-6.5,1.6,7,4.6,-0.1,-1.94,1.74,0.93877551,1.756416807,-0.056934094,0.936170213,-0.053300003,0.500367376
