Author,Year,HP_Mean,HP_SD,HP_N,SP_Mean,SP_SD,SP_N,Weight_%,ES,CI_Lower,CI_Upper,SE,pooled_sd,d,J,g,se_g
Evangelista,2009,-0.74,0.29,5,-0.2,0.29,5,8.2,0.54,0.18,0.9,0.183673469,0.29,1.862068966,0.903225806,1.681868743,0.572064197
Farnsworth F,2003,-0.37,0.37,21,-0.15,0.5,22,15.5,0.22,-0.04,0.48,0.132653061,0.441394685,0.498420138,0.981595092,0.489246761,0.295000366
Farnsworth M,2003,-0.88,0.56,7,-0.27,0.42,7,4,0.61,-0.11,0.93,0.265306122,0.494974747,1.232386104,0.936170213,1.153723162,0.501786587
Flechtner-Mors,2010,-0.63,1,49,-0.34,1.2,53,5.8,0.29,-0.14,0.72,0.219387755,1.108512517,0.261611841,0.992481203,0.259644834,0.196423784
Leidy,2007,-0.25,0.5,21,-0.14,0.45,25,13.8,0.11,-0.17,0.39,0.142857143,0.473382413,0.232370272,0.982857143,0.228386781,0.29660621
Noakes,2005,-0.3,0.72,52,-0.11,0.42,48,20.3,0.19,-0.04,0.42,0.117346939,0.595297902,0.319167932,0.992327366,0.316719073,0.195610599
Wycherley,2010,-0.4,1,12,-0.6,1.1,16,1.7,-0.2,-0.98,0.58,0.397959184,1.058845525,-0.188884965,0.970873786,-0.183383461,0.364895663
Baba,1999,-1.24,1.14,7,-0.85,0.76,6,1,0.39,-0.65,1.43,0.530612245,0.98560549,0.395695848,0.930232558,0.368089161,0.500801579
Johnston,2004,-0.16,0.28,9,0.09,0.32,7,11.9,0.25,-0.05,0.55,0.153061224,0.297801468,0.839485452,0.945454545,0.793695337,0.485935919
Kasim-Karakas,2009,-0.36,0.8,11,0.02,0.32,13,4.2,0.38,-0.12,0.88,0.255102041,0.588866399,0.645307663,0.965517241,0.623055675,0.418270459
Parker,2002,-0.47,0.51,26,-0.42,0.82,28,8.1,0.05,-0.31,0.41,0.183673469,0.688606452,0.072610415,0.985507246,0.07155809,0.262866452
Stamets,2004,-0.33,0.89,13,-0.24,0.59,13,2.7,0.09,-0.54,0.72,0.321428571,0.755049667,0.119197457,0.968421053,0.115433326,0.41226188
Torbay,2002,-0.62,0.42,7,-0.29,0.74,7,2.7,0.33,-0.3,0.96,0.321428571,0.601664358,0.548478559,0.936170213,0.513469289,0.500132424
