Author,Year,n_treat,deaths_treat,n_ctrl,deaths_ctrl,OR,CI_lower_OR,CI_upper_OR,ES,J,g,se_es,se_g
Chapuy,1992,1634,258,1636,274,0.932025547,0.773988612,1.122331268,0.038892295,0.999770484,0.038883368,0.052374299,0.052362279
Lips,1996,1291,223,1287,251,0.861826104,0.705891072,1.052208,0.082155671,0.999708823,0.082131749,0.056261297,0.056244915
Chapuy,2002,393,71,190,45,0.710489993,0.465993992,1.083267251,0.188840009,0.998708567,0.188596134,0.118892243,0.118738702
Meyer,2002,569,169,575,163,1.06791411,0.827215625,1.378649668,-0.036302385,0.999343114,-0.036278538,0.071991544,0.071944254
Trivedi,2003,1345,224,1341,247,0.885039745,0.725260453,1.080019388,0.067471119,0.99972054,0.067452263,0.056122933,0.056107249
Porthouse,2005,1321,57,1993,68,1.276584605,0.891478715,1.828050662,-0.134910627,0.999773534,-0.134880074,0.101212637,0.101189716
RECORD Trial,2005,2649,438,2643,460,0.940115627,0.814364833,1.08528433,0.03411735,0.999858216,0.034112513,0.040476494,0.040470756
Flicker,2004,312,76,313,85,0.863808574,0.603271204,1.236865357,0.080886239,0.998795664,0.080788825,0.101190758,0.10106889
Jackson,2006,18176,744,18106,807,0.914899062,0.826333988,1.012956389,0.049138969,0.999979327,0.049137954,0.028699602,0.028699009
Baeksgaard,1998,80,0,80,1,0.329192547,0.013210441,8.203187958,0.613874283,0.995245642,0.610955704,0.906425557,0.902116085
Komulainen,1999,116,0,116,1,0.330472103,0.013323443,8.196965861,0.611730957,0.996735582,0.609734011,0.905118136,0.902163453
Krieg,1999,124,21,124,26,0.768483943,0.405982377,1.454663071,0.145489287,0.996948118,0.145045271,0.179870875,0.179321931
Latham,2003,121,11,122,3,3.966666667,1.078149255,14.59393899,-0.761285144,0.996884735,-0.75891354,0.367200415,0.366056489
Avenell (open-label),2004,70,4,64,3,1.232323232,0.265002334,5.730593101,-0.115415025,0.9943074,-0.114758013,0.433227489,0.430761298
Harwood,2004,113,24,37,5,1.725842697,0.607088002,4.906262363,-0.301500249,0.994923858,-0.299969791,0.29450811,0.293013145
Meier,2004,30,0,25,1,0.267759563,0.010439037,6.867988098,0.727992185,0.985781991,0.717641585,0.914572405,0.901569006
Brazier,2005,95,3,97,1,3.130434783,0.319807717,30.64223095,-0.630481714,0.996047431,-0.627989692,0.643028315,0.640486701
Schleithoff,2006,61,7,62,6,1.209876543,0.382043514,3.831503991,-0.105258743,0.99378882,-0.104604962,0.324934911,0.322916681
