Author,Year,n_treat,n_ctrl,OR,CI_lower_OR,CI_upper_OR,ES,J,g,se_es,se_g
Aloia,2007,104,104,0.25,0.11,0.58,0.765908487,0.9963548,0.763116597,0.234320067,0.233465923
Jorde,2012,289,280,0.93,0.52,1.64,0.040094305,0.998676665,0.040041247,0.161887291,0.16167306
Bergman,2012,62,62,0.48,0.25,0.91,0.405507832,0.993839836,0.403009837,0.182092638,0.180970917
Camargo,2012,141,103,0.49,0.31,0.79,0.39411596,0.996897622,0.392893263,0.131844155,0.131435124
Laaksi,2010,80,84,0.67,0.38,1.17,0.221258324,0.995363215,0.220232397,0.158499799,0.15776487
Li-Ng,2009,78,70,0.79,0.41,1.54,0.130233333,0.994854202,0.129563179,0.186517721,0.185557939
Majak,2011,24,24,0.24,0.06,0.9,0.788462075,0.983606557,0.775536467,0.381673554,0.375416611
Manaseki-Holland,2010,224,229,0.6,0.41,0.88,0.282224102,0.998336106,0.281754511,0.107645274,0.107466164
Manaseki-Holland,2012,1524,1522,1.04,0.92,1.19,-0.021668902,0.999753593,-0.021663563,0.036268874,0.036259937
Murdoch,2012,161,161,0.92,0.62,1.37,0.046067187,0.997654418,0.045959133,0.111744072,0.111481967
Urashima,2010,167,167,0.53,0.28,0.99,0.350761476,0.997739261,0.349968497,0.177995735,0.177593333
