Author,Year,n_treat,n_control,WMD,LCI,UCI,se_md,pooled_sd,d,J,g,se_g
Jorde,2009,16,16,0,-19.49,19.49,9.943877551,28.12553299,0,0.974789916,0,0.34464028
Eftekhari,2011,35,35,1.1,-1.95,4.15,1.556122449,6.509727247,-0.168977894,0.988929889,-0.16710729,0.236399459
Shab-Bidar,2011,31,29,-8.2,-13.92,-2.48,2.918367347,11.29650706,0.725888096,0.987012987,0.716460978,0.254987356
Breslavsky,2013,24,23,-10.3,-27.09,6.49,8.566326531,29.35724077,0.350850411,0.983240223,0.344970237,0.286905601
Kampmann,2014,7,8,-9.7,-31.05,11.65,10.89285714,21.04699956,0.460873293,0.941176471,0.4337631,0.487105101
Yousefi Rad,2014,28,30,-2.16,-4.06,-0.26,0.969387755,3.689123344,0.585504956,0.986547085,0.577628207,0.259234126
Al-Sofiani,2015,10,10,1.49,-3.7,6.68,2.647959184,5.921016736,-0.25164597,0.957746479,-0.241013042,0.428317246
Hajimohammadi,2017,50,50,-8.12,-13.42,-2.82,2.704081633,13.52040816,0.600573585,0.992327366,0.595965603,0.198465473
Salehi,2018,51,50,0.4,-2.74,3.54,1.602040816,8.049760886,-0.049690917,0.992405063,-0.049313518,0.19750567
Omidian,2019,32,34,-0.6,-1.21,0.01,0.31122449,1.26361928,0.474826563,0.988235294,0.469240368,0.24339849
Imanparast,2020,23,23,-5.94,-9.47,-2.41,1.801020408,6.107557357,0.97256557,0.982857143,0.955893017,0.28982876
Safarpour,2020,42,43,-2.01,-5.15,1.13,1.602040816,7.384532171,0.272190567,0.990936556,0.269723583,0.214979199
Cojic,2021,49,65,-1.25,-4.1,1.6,1.454081633,7.685835435,0.162636842,0.993288591,0.161545319,0.187920065
Derosa,2022,122,117,0.1,-1.83,2.03,0.984693878,7.609833127,-0.013140893,0.996832101,-0.013099264,0.128987647
Hoseini,2022,10,10,-0.93,-1.17,-0.69,0.12244898,0.273804242,3.396587258,0.957746479,3.253069486,0.428317246
Mehta,2022,50,50,-2.33,-7.44,2.78,2.607142857,13.03571429,0.178739726,0.992327366,0.177368321,0.198465473
Hu,2023,115,105,-3.82,-7.95,0.31,2.107142857,15.61083774,0.244701794,0.996555683,0.243858963,0.134514574
Salarinia,2023,10,10,-0.54,-5.57,4.49,2.566326531,5.738480575,0.094101565,0.957746479,0.090125442,0.428317246
