Author,Year,n_treat,n_control,WMD,LCI,UCI,se_md,pooled_sd,d,J,g,se_g
Jorde,2009,16,16,0,-0.5,0.5,0.255102041,0.721537532,0,0.974789916,0,0.34464028
Eftekhari,2011,35,35,-0.74,-1.71,0.23,0.494897959,2.070306698,0.357434964,0.988929889,0.353478119,0.236399459
Shab-Bidar,2011,31,29,-0.5,-1.13,0.13,0.321428571,1.244195708,0.401866038,0.987012987,0.396646999,0.254987356
Soric,2012,19,18,-0.5,-1.11,0.11,0.31122449,0.94620656,0.528425844,0.978417266,0.51702097,0.321819175
Breslavsky,2013,24,23,0.6,-0.24,1.44,0.428571429,1.468736286,-0.408514453,0.983240223,-0.401667842,0.286905601
Yiu,2013,50,50,-0.15,-0.51,0.21,0.183673469,0.918367347,0.163333333,0.992327366,0.162080136,0.198465473
Ghavamzadeh,2014,26,25,-1.24,-2.74,0.26,0.765306122,2.732164084,0.453852683,0.984615385,0.446870334,0.275800486
Kampmann,2014,7,8,0.01,0,0.02,0.005102041,0.009858079,-1.014396372,0.941176471,-0.954725997,0.487105101
Nasri,2014,30,30,-0.32,-0.75,0.11,0.219387755,0.849685122,0.376610102,0.987012987,0.371719061,0.254845657
Nikooyeh,2014,30,30,-1.7,-2.4,-1,0.357142857,1.383208338,1.229026715,0.987012987,1.213065329,0.254845657
Ryu,2014,79,79,0.12,-0.15,0.39,0.137755102,0.865777391,-0.138603758,0.995184591,-0.137936324,0.15834527
Yousefi Rad,2014,28,30,-0.42,-0.64,-0.2,0.112244898,0.42716165,0.983234332,0.986547085,0.970006965,0.259234126
Al-Sofiani,2015,10,10,-0.2,-1.81,1.41,0.821428571,1.836770124,0.108886788,0.957746479,0.104285938,0.428317246
Sadiya,2015,45,42,-0.2,-0.92,0.52,0.367346939,1.712173223,0.116810611,0.991150442,0.115776889,0.212651428
Shab-Bidar,2015,31,29,-0.79,-1.73,0.15,0.479591837,1.856418993,0.425550484,0.987012987,0.420023854,0.254987356
Zhou,2015,27,29,-0.82,-1.16,-0.48,0.173469388,0.648648941,1.264166097,0.986046512,1.24652657,0.263700245
Anyanwu,2016,17,16,-1.04,-2.09,0.01,0.535714286,1.538015491,0.67619605,0.975609756,0.659703463,0.339819779
Dalan,2016,31,30,0,-0.46,0.46,0.234693878,0.916385729,0,0.987234043,0,0.25283871
Hajimohammadi,2017,50,50,-0.5,-1.13,0.13,0.321428571,1.607142857,0.311111111,0.992327366,0.308724069,0.198465473
Momeni,2017,29,28,0.16,-0.37,0.69,0.270408163,1.02061133,-0.156768787,0.98630137,-0.154621269,0.261317834
Angellotti,2018,66,61,0,-0.18,0.18,0.091836735,0.517072521,0,0.993987976,0,0.176541213
Salehi,2018,51,50,0.2,-0.35,0.75,0.280612245,1.409989964,-0.141844981,0.992405063,-0.140767678,0.19750567
Upreti,2018,30,30,-0.34,-0.61,-0.07,0.137755102,0.533523216,0.637273112,0.987012987,0.628996837,0.254845657
Lo,2019,14,16,0,-0.87,0.87,0.443877551,1.212904376,0,0.972972973,0,0.356071648
Omidian,2019,32,34,-0.43,-0.78,-0.08,0.178571429,0.725027456,0.593080988,0.988235294,0.586103565,0.24339849
El Hajj,2020,45,43,0.12,-0.31,0.55,0.219387755,1.02875399,-0.116645963,0.991253644,-0.115625736,0.211390589
Imanparast,2020,23,23,-0.2,-1.35,0.95,0.586734694,1.989714153,0.100516951,0.982857143,0.098793803,0.28982876
Safarpour,2020,42,43,-0.81,-1.25,-0.37,0.224489796,1.034775209,0.782778707,0.990936556,0.775684036,0.214979199
Cojic,2021,49,65,-0.21,-0.54,0.12,0.168367347,0.88993884,0.235971272,0.993288591,0.234387572,0.187920065
Mozaffari,2021,40,40,-0.41,-0.61,-0.21,0.102040816,0.456340404,0.898452113,0.990353698,0.889785373,0.221449819
Behshad,2022,30,32,-0.22,-0.89,0.45,0.341836735,1.345112173,0.163555133,0.987447699,0.161502139,0.250942564
Derosa,2022,122,117,-0.3,-0.46,-0.14,0.081632653,0.630866995,0.475536052,0.996832101,0.474029602,0.128987647
Mehta,2022,50,50,-0.38,-1.59,0.87,0.62755102,3.137755102,0.121105691,0.992327366,0.120176491,0.198465473
Praveenkumar,2022,34,34,-1.6,-2.57,-0.63,0.494897959,2.04051656,0.784115175,0.988593156,0.775170896,0.239769059
Hu,2023,115,105,-0.29,-0.68,0.1,0.198979592,1.474146905,0.196723949,0.996555683,0.196046369,0.134514574
Salarinia,2023,10,10,-0.89,-1.99,0.21,0.56122449,1.25493611,0.709199451,0.957746479,0.679233277,0.428317246
