Author,Year,n_treat,n_control,WMD,LCI,UCI,se_md,pooled_sd,d,J,g,se_g
Al-Sofiani,2015,10,10,0.62,-1.82,3.06,1.244897959,2.783676462,-0.222727033,0.957746479,-0.213316032,0.428317246
Breslavsky,2013,24,23,-4.3,-12.57,3.97,4.219387755,14.46005844,0.297370859,0.983240223,0.29238699,0.286905601
Jorde,2009,16,16,0.5,-12.83,13.83,6.801020408,19.2361906,-0.025992672,0.974789916,-0.025337395,0.34464028
Eftekhari,2011,35,35,-0.19,-1.3,0.92,0.566326531,2.369113851,0.080198763,0.988929889,0.079310954,0.236399459
Baziar,2014,41,40,-1.43,-2.47,-0.39,0.530612245,2.387573129,0.598934534,0.99047619,0.593230396,0.220122596
Ryu,2014,79,79,0.55,-0.01,1.11,0.285714286,1.795686441,-0.306289554,0.995184591,-0.304814645,0.15834527
Tabeshb,2014,15,15,-0.02,-0.1,0.07,0.043367347,0.118766371,0.168397837,0.972972973,0.163846544,0.355279497
Salehi,2018,51,50,-0.9,-2.19,0.39,0.658163265,3.30706737,0.272144441,0.992405063,0.270077521,0.19750567
El Hajj,2020,45,43,-0.09,-1.02,0.84,0.474489796,2.224979561,0.04044981,0.991253644,0.040096021,0.211390589
Imanparast,2020,23,23,-3.64,-6,-1.28,1.204081633,4.08323948,0.891449061,0.982857143,0.876167077,0.28982876
Safarpour,2020,42,43,-0.47,-2.08,1.14,0.821428571,3.786336559,0.12413054,0.990936556,0.123005489,0.214979199
Cojic,2021,49,65,-0.02,-1.14,1.1,0.571428571,3.020398487,0.006621643,0.993288591,0.006577202,0.187920065
Derosa,2022,122,117,-1.2,-2.02,-0.38,0.418367347,3.233193349,0.371150089,0.996832101,0.369974323,0.128987647
Hu,2023,115,105,-1.47,-3,0.06,0.780612245,5.783191704,0.254184899,0.996555683,0.253309406,0.134514574
Salarinia,2023,10,10,-0.48,-1.2,0.24,0.367346939,0.821412726,0.584359098,0.957746479,0.559667869,0.428317246
