author,year,n_t,n_c,n,md_neg,lCI_neg,uCI_neg,trial_type,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g
Hutchins,2005,,,8,0,-7.37,7.37,Non-hypertensive,0,-7.37,7.37,3.760204082,10.63546322,0,0.888888889,0,0.314269681
Keith,1982,,,10,-1,-3.63,1.63,Non-hypertensive,1,-1.63,3.63,1.341836735,4.24326033,0.235667841,0.914285714,0.21546774,0.289122529
Keith,1982,,,12,5,1.39,8.61,Non-hypertensive,-5,-8.61,-1.39,1.841836735,6.380309607,-0.78366103,0.930232558,-0.728987005,0.268535009
Osilesi,1991,,,20,0.6,-2.73,3.93,Non-hypertensive,-0.6,-3.93,2.73,1.698979592,7.598067719,-0.078967446,0.96,-0.075808748,0.214662526
Gaede,2001,,,29,-1.3,-4.44,1.84,Hypertensive,1.3,-1.84,4.44,1.602040816,8.627253824,0.150685262,0.972972973,0.146612687,0.180676545
Plantinga,2007,,,30,-1,-4.29,2.29,Hypertensive,1,-2.29,4.29,1.678571429,9.193914358,0.1087676,0.973913043,0.105930184,0.177811381
Fotherby,2000,,,40,-1,-2.45,0.45,Non-hypertensive,1,-0.45,2.45,0.739795918,4.678880211,0.213726352,0.980645161,0.209589713,0.155053614
Shargorodsky,2010,36,34,,-2.5,-6.42,1.42,Hypertensive,2.5,-1.42,6.42,2,8.363184629,0.298929189,0.988929889,0.29562001,0.236496008
Farah,2008,8,8,,-10.8,-34.34,12.74,Hypertensive,10.8,-12.74,34.34,12.01020408,24.02040816,0.449617672,0.945454545,0.425093072,0.472727273
Rodrigo,2008,55,55,,-7.4,-9.24,-5.56,Hypertensive,7.4,5.56,9.24,0.93877551,4.922980308,1.503154499,0.993039443,1.492691707,0.189365192
Mahajan,2007,20,20,,0.5,-1.7,2.7,Hypertensive,-0.5,-2.7,1.7,1.12244898,3.549495333,-0.140865096,0.98013245,-0.138066451,0.309945095
Ward,2005,19,18,,1.2,0.02,2.38,Hypertensive,-1.2,-2.38,-0.02,0.602040816,1.830366788,-0.655606301,0.978417266,-0.641456525,0.321819175
Magen,2004,17,16,,4.8,1.96,7.64,Hypertensive,-4.8,-7.64,-1.96,1.448979592,4.15996571,-1.153855665,0.975609756,-1.125712844,0.339819779
Mullan,2002,15,15,,-4.5,-7.58,-1.42,Hypertensive,4.5,1.42,7.58,1.571428571,4.30353438,1.045652155,0.972972973,1.017391286,0.355279497
Duffy,2001,19,20,,-4,-9.61,1.61,Hypertensive,4,-1.61,9.61,2.862244898,8.934418359,0.447706816,0.979591837,0.438569943,0.313823645
Ghosh,1994,22,26,,-1.2,-6.35,3.95,Hypertensive,1.2,-3.95,6.35,2.62755102,9.070444146,0.132297821,0.983606557,0.130129005,0.284933833
Salonen,1994,20,20,,-2.9,-7.31,1.51,Hypertensive,2.9,-1.51,7.31,2.25,7.115124735,0.407582454,0.98013245,0.399484789,0.309945095
Farvid,2010,45,22,,-8.59,-12.78,-4.4,Non-hypertensive,8.59,4.4,12.78,2.137755102,8.217470384,1.045333856,0.988416988,1.033225741,0.257134296
Wang,2009,30,29,,-6.2,-11.43,-0.97,Non-hypertensive,6.2,0.97,11.43,2.668367347,10.24658715,0.605079517,0.986784141,0.597082871,0.256973619
Nightingale,2007,19,18,,2,-5.59,9.59,Non-hypertensive,-2,-9.59,5.59,3.87244898,11.77329146,-0.169876029,0.978417266,-0.16620964,0.321819175
Farvid,2005,35,34,,-5,-8.82,-1.18,Non-hypertensive,5,1.18,8.82,1.948979592,8.093870041,0.617751456,0.988764045,0.610810428,0.238091412
Schutte,2004,17,14,,-1.68,-5.7,2.34,Non-hypertensive,1.68,-2.34,5.7,2.051020408,5.682999441,0.29561854,0.973913043,0.287906752,0.351489658
Nightingale,2003,23,15,,-9,-14.55,-3.45,Non-hypertensive,9,3.45,14.55,2.831632653,8.532074933,1.054843056,0.979020979,1.032713482,0.324918357
Block,2002,51,53,,-4.46,-7.07,-1.85,Non-hypertensive,4.46,1.85,7.07,1.331632653,6.788765216,0.656967778,0.992628993,0.652125264,0.194706568
Brody,2002,54,54,,-2,-4.96,0.96,Non-hypertensive,2,-0.96,4.96,1.510204082,7.847250598,0.254866335,0.992907801,0.253058772,0.191085195
Darko,2002,18,17,,0,-6.19,6.19,Non-hypertensive,0,-6.19,6.19,3.158163265,9.338159094,0,0.977099237,0,0.330454738
Singh,2002,18,18,,3,-2.19,8.19,Non-hypertensive,-3,-8.19,2.19,2.647959184,7.943877551,-0.377649326,0.977777778,-0.369257118,0.325925926
Title,2000,25,25,,5,0.73,9.27,Non-hypertensive,-5,-9.27,-0.73,2.178571429,7.702413152,-0.649147209,0.984293194,-0.638951179,0.278400157
Gokce,1999,21,25,,1,-3.45,5.45,Non-hypertensive,-1,-5.45,3.45,2.270408163,7.670164451,-0.130375301,0.982857143,-0.128140296,0.290930774
