author,year,n_t,n_c,n,md_neg,lCI_neg,uCI_neg,trial_type,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g
Hutchen,2005,,,8,0,-15.72,15.72,Non-hypertensive,0,-15.72,15.72,8.020408163,22.68514,0,0.888888889,0,0.314269681
Keith,1982,,,10,-5,-8.94,-1.06,Non-hypertensive,5,1.06,8.94,2.010204082,6.35682346,0.786556372,0.914285714,0.719137255,0.289122529
Keith,1982,,,12,-2,-4.39,0.39,Non-hypertensive,2,-0.39,4.39,1.219387755,4.224083092,0.473475535,0.930232558,0.440442358,0.268535009
Galley,1997,,,17,-3.17,-6.44,0.1,Non-hypertensive,3.17,-0.1,6.44,1.668367347,6.878854794,0.460832522,0.952380952,0.438888116,0.23098631
Osilesi,1991,,,20,-6.3,-10.22,-2.38,Non-hypertensive,6.3,2.38,10.22,2,8.94427191,0.704361413,0.96,0.676186956,0.214662526
Galley,1997,,,21,-9,-15.53,-2.47,Hypertensive,9,2.47,15.53,3.331632653,15.26745882,0.589489063,0.962025316,0.567103403,0.209931135
Gaede,2001,,,29,-1.4,-5.71,2.91,Hypertensive,1.4,-2.91,5.71,2.198979592,11.84186751,0.118224596,0.972972973,0.115029336,0.180676545
Plantinga,2007,,,30,0,-5.06,5.06,Hypertensive,0,-5.06,5.06,2.581632653,14.14018439,0,0.973913043,0,0.177811381
Fotherby,2000,,,40,-2,-3.61,-0.39,Non-hypertensive,2,0.39,3.61,0.821428571,5.195170442,0.384972933,0.980645161,0.377521844,0.155053614
Shargorodsky,2010,36,34,,-6.1,-14.33,2.13,Hypertensive,6.1,-2.13,14.33,4.198979592,17.55842079,0.347411654,0.988929889,0.343565768,0.236496008
Farah,2008,8,8,,-19.2,-51.81,13.41,Hypertensive,19.2,-13.41,51.81,16.6377551,33.2755102,0.57700092,0.945454545,0.545528143,0.472727273
Rodrigo,2008,55,55,,-9.1,-10.73,-7.47,Hypertensive,9.1,7.47,10.73,0.831632653,4.361118425,2.086620705,0.993039443,2.072096662,0.189365192
Mahajan,2007,20,20,,-6.3,-10.18,-2.42,Hypertensive,6.3,2.42,10.18,1.979591837,6.260019042,1.006386715,0.98013245,0.986392277,0.309945095
Ward,2005,19,18,,-1.8,-3.37,-0.23,Hypertensive,1.8,0.23,3.37,0.801020408,2.435318523,0.739123028,0.978417266,0.723170732,0.321819175
Magen,2004,17,16,,0.2,-3.15,3.55,Hypertensive,-0.2,-3.55,3.15,1.709183673,4.907001805,-0.040758086,0.975609756,-0.039763986,0.339819779
Mullan,2002,15,15,,-8.7,-15.76,-1.64,Hypertensive,8.7,1.64,15.76,3.602040816,9.864595041,0.881941931,0.972972973,0.858105663,0.355279497
Duffy,2001,19,20,,-10,-19.84,-0.16,Hypertensive,10,0.16,19.84,5.020408163,15.67106536,0.638118709,0.979591837,0.625095879,0.313823645
Ghosh,1994,22,26,,-2.6,-9.24,4.04,Hypertensive,2.6,-4.04,9.24,3.387755102,11.69470857,0.22232277,0.983606557,0.218678134,0.284933833
Salonen,1994,20,20,,-7.3,-13.45,-1.15,Hypertensive,7.3,1.15,13.45,3.137755102,9.922452862,0.735705183,0.98013245,0.721088524,0.309945095
Farvid,2010,45,22,,-10.42,-17.42,-3.42,Non-hypertensive,10.42,3.42,17.42,3.571428571,13.72847081,0.759006604,0.988416988,0.750215021,0.257134296
Wang,2009,30,29,,-6,-14.53,2.53,Non-hypertensive,6,-2.53,14.53,4.352040816,16.71192894,0.359024983,0.986784141,0.354280159,0.256973619
Nightingale,2007,19,18,,2,-15.82,19.82,Non-hypertensive,-2,-19.82,15.82,9.091836735,27.64164082,-0.072354605,0.978417266,-0.070792995,0.321819175
Farvid,2005,35,34,,-4.55,-10.41,1.31,Non-hypertensive,4.55,-1.31,10.41,2.989795918,12.4162509,0.366455224,0.988764045,0.362337749,0.238091412
Schutte,2004,17,14,,-6.04,-11.86,-0.22,Non-hypertensive,6.04,0.22,11.86,2.969387755,8.227626057,0.734112119,0.973913043,0.714961368,0.351489658
Nightingale,2003,23,15,,-6,-18.76,6.76,Non-hypertensive,6,-6.76,18.76,6.510204082,19.61608579,0.305871419,0.979020979,0.299454536,0.324918357
Block,2002,51,53,,-3.35,-6.17,-0.53,Non-hypertensive,3.35,0.53,6.17,1.43877551,7.334987704,0.456715149,0.992628993,0.453348698,0.194706568
Brody,2002,54,54,,-1.11,-5.38,3.16,Non-hypertensive,1.11,-3.16,5.38,2.178571429,11.32018921,0.098054898,0.992907801,0.097359473,0.191085195
Darko,2002,18,17,,2,-7.72,11.72,Non-hypertensive,-2,-11.72,7.72,4.959183673,14.66347438,-0.136393323,0.977099237,-0.133269812,0.330454738
Singh,2002,18,18,,7,-2.31,16.31,Non-hypertensive,-7,-16.31,2.31,4.75,14.25,-0.49122807,0.977777778,-0.480311891,0.325925926
Title,2000,25,25,,6,-1.68,13.68,Non-hypertensive,-6,-13.68,1.68,3.918367347,13.85352061,-0.433102903,0.984293194,-0.42630024,0.278400157
Gokce,1999,21,25,,-10,-20.64,0.64,Non-hypertensive,10,-0.64,20.64,5.428571429,18.33944938,0.545272641,0.982857143,0.53592511,0.290930774
