Author,Year,n_control_f,n_control,n_treatment_f,n_treatment,weight,OR,CI_lower_OR,CI_upper_OR,ES,J,g,se_es,se_g
Li-Ng,2009,33,76,32,81,3.48,0.85,0.44,1.64,0.089789464,0.995153473,0.089354297,0.185431953,0.184533252
Urashima,2010,69,167,68,167,5.36,0.9,0.58,1.41,0.05821023,0.997739261,0.058078632,0.125199696,0.124916652
Manaseki-Holland,2010,126,229,97,224,6.12,0.6,0.41,0.88,0.282224102,0.998336106,0.281754511,0.107645274,0.107466164
Laaksi,2010,54,84,39,80,3.58,0.51,0.27,0.96,0.372013565,0.995363215,0.370288618,0.178784435,0.17795545
Majak,2011,11,24,4,24,1,0.2,0.05,0.82,0.889192217,0.983606557,0.874615295,0.394249822,0.38778671
Trilok-Kumar,2011,458,1030,438,1034,8.69,0.92,0.77,1.11,0.046067187,0.999636231,0.046050429,0.05154538,0.051526629
Lehouck,2012,29,89,30,86,3.57,1,0.53,1.9,0,0.995658466,0,0.179943082,0.179161853
Manaseki-Holland,2012,245,1505,260,1506,8.58,1.08,0.89,1.3,-0.042519912,0.999750727,-0.042509313,0.05340203,0.053388718
Camargo,2012,53,103,44,141,4.36,0.38,0.22,0.65,0.53457681,0.996897622,0.53291835,0.152687002,0.152213309
Murdoch,2012,155,161,154,161,1.43,0.97,0.3,3.15,0.016828291,0.997654418,0.016788819,0.331403661,0.330626327
Bergman,2012,39,62,26,62,2.89,0.42,0.2,0.89,0.479282082,0.993839836,0.476329626,0.210410432,0.209114269
Marchisio,2013,38,58,26,58,2.84,0.44,0.21,0.95,0.453580416,0.993406593,0.450589776,0.212728951,0.211326343
Rees,2013,276,360,303,399,6.35,1.03,0.72,1.49,-0.01633083,0.99900892,-0.016314645,0.102503127,0.102401538
Tran,2014,96,197,185,397,6.6,0.92,0.65,1.3,0.046067187,0.998732573,0.0460088,0.097692409,0.097568591
Goodall,2014,80,234,70,258,5.94,0.66,0.45,0.98,0.229566544,0.998468606,0.229214987,0.109694581,0.109526595
Urashima,2014,17,99,32,148,3.41,1.43,0.73,2.78,-0.19761019,0.996935649,-0.197004643,0.18846004,0.187882532
Grant,2014,53,80,94,156,4.12,0.77,0.43,1.36,0.144400422,0.996791444,0.143937105,0.162286443,0.161765738
MartineauCO,2015,75,118,76,122,3.98,0.87,0.48,1.57,0.076940369,0.996845426,0.076697655,0.167020633,0.166493754
MartineauAs,2015,93,125,85,125,3.74,0.71,0.38,1.31,0.189221165,0.996972755,0.188648346,0.174429356,0.173901315
MartineauFlu,2015,58,103,83,137,4.38,1.13,0.66,1.95,-0.067523554,0.996845426,-0.067310546,0.152687002,0.15220534
Dubnov-Raz,2015,10,11,10,14,0.28,0.23,0.01,3.82,0.811975674,0.967032967,0.785207245,0.837949686,0.810324971
Denlinger,2016,93,207,110,201,5.86,1.52,1.02,2.28,-0.231331677,0.998151571,-0.230904077,0.113368589,0.113159036
Tachimoto,2016,5,35,4,54,1.01,0.45,0.11,1.89,0.441164473,0.991354467,0.437350371,0.400813471,0.397348225
Ginde,2016,24,52,17,55,2.44,0.44,0.19,1.02,0.453580416,0.992840095,0.450332824,0.236855034,0.235159174
