Author,Year,n,RR,lCI,uCI,ES,J,g,se_es,se_g
Dibley,1996,1405,0.33,0.01,7.99,0.612520787,0.999465336,0.612193294,0.941955258,0.941451628
Barreto,1994,1240,1,0.14,7.08,0,0.999394062,0,0.55296352,0.552628458
Chowdhury,2002,1520,0.14,0.03,0.62,1.086250197,0.999505847,1.085713424,0.426840976,0.426630052
Venkatarao,1996,612,0.37,0.09,1.37,0.549310648,0.998769988,0.548634989,0.383746244,0.383274231
Benn,1997,462,0.46,0.14,1.47,0.429021431,0.998368679,0.428321559,0.331403661,0.330863035
Donnen,1998,235,0.6,0.23,1.55,0.282224102,0.996777658,0.281314679,0.268904457,0.268037955
Rossh,1993,1455,0.3,0.12,0.74,0.665178345,0.999483738,0.664834938,0.256392835,0.256260469
Agarwal,1995,17778,1.22,0.66,2.25,-0.109862353,0.999957808,-0.109857718,0.172855686,0.172848392
Vijayaraghavan,1990,15775,1.02,0.57,1.82,-0.010940678,0.99995245,-0.010940158,0.163625468,0.163617687
Pant,1996,25301,0.57,0.37,0.88,0.310562938,0.999970354,0.310553731,0.122113387,0.122109767
Rahmathullah,1990,15419,0.46,0.3,0.71,0.429021431,0.999951352,0.429000559,0.121417648,0.121411741
Sommer,1986,29236,0.74,0.54,1,0.166356405,0.999974345,0.166352137,0.086845493,0.086843265
Daulaire,1992,7197,0.74,0.55,0.99,0.166356405,0.999895757,0.166339063,0.082842861,0.082834225
Herrera,1992,28753,1.06,0.82,1.37,-0.032192767,0.999973914,-0.032191927,0.072339283,0.072337396
West,1991,28630,0.7,0.56,0.88,0.19705798,0.999973802,0.197052817,0.063702943,0.063701274
Rosss,1993,21906,0.81,0.67,0.97,0.116420459,0.999965759,0.116416473,0.052150519,0.052148733
