Author,Year,n,RR,lCI,uCI,ES,J,g,se_es,se_g
Arya,2000,256,0.95,0.46,1.99,0.028338837,0.997044335,0.028255077,0.206430182,0.205820044
Florentino,1990,2471,1.07,0.76,1.51,-0.037380469,0.999696203,-0.037369113,0.096762106,0.09673271
Cheng,1993,198,0.4,0.3,0.54,0.506237973,0.996168582,0.504298364,0.082842861,0.082525455
Herrera,1992,28753,0.57,0.43,0.76,0.310562938,0.999973914,0.310554837,0.080270214,0.08026812
Biswas,1994,180,0.78,0.61,0.99,0.137271469,0.995780591,0.136692265,0.068249801,0.067961827
Venkatarao,1996,612,1.01,0.84,1.21,-0.00549742,0.998769988,-0.005490658,0.051439529,0.051376258
Long,2007,195,0.92,0.77,1.1,0.046067187,0.996108949,0.045887938,0.050269893,0.05007429
Sempertegui,1999,400,1.08,0.92,1.27,-0.042519912,0.998114393,-0.042439736,0.04543896,0.04535328
Shankar,1999,480,1.17,1,1.38,-0.086742403,0.998430141,-0.086606229,0.045394562,0.045323299
Dibley,1996,1405,1.06,0.95,1.18,-0.032192767,0.999465336,-0.032175555,0.030556959,0.030540621
Chowdhury,2002,1520,0.62,0.58,0.65,0.264108177,0.999505847,0.263977668,0.016059344,0.016051408
Barreto,1994,1240,0.95,0.91,0.99,0.028338837,0.999394062,0.028321665,0.011875683,0.011868487
