Author,Year,N,ES,CI_lower,CI_upper,SE,pooled_sd,d,J,g,se_g
Dawson-Hughes,1995,261,1.5,0.5,2.5,0.510204082,4.121299597,0.363962863,0.997101449,0.362907898,0.123438061
Ooms,1995,348,1.9,0.4,3.4,0.765306122,7.138300296,0.266169805,0.997830803,0.26559243,0.106978691
Tuppurainen,1998,45,3.7,-0.1,7.5,1.93877551,6.502850751,0.568981227,0.98245614,0.5589991,0.292911829
KomulainenNOHRT,1999,231,0.1,-1.2,1.4,0.663265306,5.040379949,0.019839774,0.996721311,0.019774726,0.131158895
Komulainen,1999,227,0,-1.3,1.3,0.663265306,4.996549726,0,0.996662959,0,0.132301688
Hunter,2000,158,0.5,-1.1,2.1,0.816326531,5.13053269,0.097455767,0.995184591,0.096986478,0.15834527
Patel,2001,70,0.6,-0.6,1.9,0.637755102,2.667921003,0.224894215,0.988929889,0.222404611,0.236399459
Cooper,2003,187,-0.7,-2,0.07,0.528061224,3.61056432,-0.19387551,0.99594046,-0.193088465,0.145660759
Harwood,2004,75,1.1,-1.1,2.2,0.841836735,3.64525999,0.301761741,0.989690722,0.298650795,0.228559282
Islam,2010,100,2.8,1.5,4.1,0.663265306,3.316326531,0.844307692,0.992327366,0.837829628,0.198465473
Grimnes,2011,297,-0.1,-0.6,0.3,0.229591837,1.978357034,-0.050546993,0.997455471,-0.050418375,0.115756474
Rastelli,2011,60,1.8,-0.1,3.8,0.994897959,3.853223227,0.467141376,0.987012987,0.461074605,0.254845657
Nieves,2012,127,0.6,-0.1,1.3,0.357142857,2.012397798,0.298151787,0.993987976,0.296359291,0.17640434
