Author,Year,N,ES,CI_lower,CI_upper,SE,pooled_sd,d,J,g,se_g
Dawson-Hughes,1991,276,0.7,0,1.4,0.357142857,2.96665138,0.235956272,0.997260274,0.235309817,0.120056029
Dawson-Hughes,1995,261,-0.2,-1,0.6,0.408163265,3.297039678,-0.060660477,0.997101449,-0.06048465,0.123438061
Tuppurainen,1998,45,0.9,-2.9,4.7,1.93877551,6.502850751,0.138400839,0.98245614,0.135972754,0.292911829
KomulainenNOHRT,1999,231,-0.7,-0.9,2.3,0.816326531,6.203544552,-0.112838716,0.996721311,-0.112468753,0.131158895
Komulainen,1999,227,-0.1,-1.4,1.2,0.663265306,4.996549726,-0.020013811,0.996662959,-0.019947024,0.132301688
Hunter,2000,158,-0.1,-1.9,1.7,0.918367347,5.771849276,-0.01732547,0.995184591,-0.017242041,0.15834527
Patel,2001,70,-0.6,-1.3,0.2,0.382653061,1.600752602,-0.374823692,0.988929889,-0.370674352,0.236399459
Cooper,2003,187,-0.2,-1.7,1.4,0.790816327,5.40712531,-0.036988231,0.99594046,-0.036838076,0.145660759
Harwood,2004,75,-1.4,-3.3,0.5,0.969387755,4.19757211,-0.333526134,0.989690722,-0.330087721,0.228559282
Aloia,2005,208,-0.1,-0.5,0.4,0.229591837,1.65561028,-0.060400688,0.9963548,-0.060180515,0.138169551
Andersen,2008,173,0.6,-0.6,1.9,0.637755102,4.194179349,0.143055399,0.995607613,0.142427044,0.15138929
Islam,2010,100,1.7,-0.5,3.9,1.12244898,5.612244898,0.302909091,0.992327366,0.30058498,0.198465473
Jorde,2010,421,0.1,-0.7,0.8,0.382653061,3.925692193,0.025473215,0.998208955,0.025427591,0.097299455
Grimnes,2011,297,-0.1,-0.8,0.7,0.382653061,3.297261723,-0.030328196,0.997455471,-0.030251025,0.115756474
Rastelli,2011,60,0.5,-1.7,2.7,1.12244898,4.347226205,0.115015869,0.987012987,0.113522156,0.254845657
Steﬀensen,2011,71,-0.2,-1.7,1.3,0.765306122,3.224292005,-0.062029121,0.989090909,-0.06135244,0.23476699
Nieves,2012,127,0.1,-0.8,1.1,0.484693878,2.731111297,0.036615132,0.993987976,0.036395001,0.17640434
