Author,Year,N,d,CI_lower,CI_upper,se_d,pooled_sd,J,g,se_g,notes
Bischoff,2003,122,0.2000,-0.2900,0.6900,0.2500,1.380670127,0.993736952,0.19874739,0.248434238,"n not available, d used"
Bunout,2006,96,-0.2900,-0.8590,0.2790,0.2900,1.420704051,0.992,-0.28768,0.28768,
Dhesi,2004,139,0.2270,-0.1270,0.5820,0.1810,1.066979264,0.994515539,0.225755027,0.180007313,
Grady,1991,98,0.1200,-0.2770,0.5160,0.2020,0.999848989,0.992167102,0.119060052,0.200417755,
Janssen,2010,70,0.1970,-0.2730,0.6670,0.2400,1.003992032,0.988929889,0.194819188,0.237343173,
Latham,2003,243,0.0000,-0.2510,0.2510,0.1280,0.997661265,0.996884735,0,0.127601246,
Pfeifer,2009,242,0.2070,-0.0530,0.4670,0.1330,1.034497221,0.996871741,0.20635245,0.132583942,
Bischoffb,2003,122,0.1910,-0.3090,0.6910,0.2550,1.40828353,0.993736952,0.189803758,0.253402923,
Gradyb,1991,98,0.0380,-0.3590,0.4340,0.2020,0.999848989,0.992167102,0.03770235,0.200417755,
Kenny,2003,65,0.0270,-0.4800,0.5330,0.2580,1.04003125,0.988047809,0.026677291,0.254916335,
Kukulijan,2009,180,0.0880,-0.3350,0.5110,0.2160,1.448972049,0.995780591,0.087628692,0.215088608,
