Author,Year,type,e_treat,n_treat,e_control,n_control,OR,lCI_OR,uCI_OR,ES,J,g,se_es,se_g
Brohult,1973,d3,1,25,0,25,3,0.13,70.3,-0.606968115,0.984293194,-0.597434585,0.886936609,0.873005667
Inkovaara,1983,d3,7,45,5,42,1.31,0.45,3.8,-0.149186264,0.991150442,-0.147866031,0.30069748,0.298036441
Lips,1996,d3,223,1291,251,1287,0.89,0.75,1.04,0.064383324,0.999708823,0.064364577,0.046073794,0.046060379
Meyer,2002,d3,169,569,163,575,1.05,0.87,1.26,-0.026955892,0.999343114,-0.026938185,0.052200613,0.052166323
Trivedi,2003,d3,224,1345,247,1341,0.9,0.77,1.07,0.05821023,0.99972054,0.058193962,0.046372676,0.046359717
Latham,2003,d3,11,121,3,122,3.7,1.06,12.92,-0.722835812,0.996884735,-0.720583987,0.352422425,0.351324536
Bischoff,2003,d3,1,62,4,60,0.24,0.03,2.1,0.788462075,0.993736952,0.783523899,0.598784424,0.595034208
Aloia,2005,d3,1,104,2,104,0.5,0.05,5.43,0.382954243,0.9963548,0.381558298,0.660682068,0.658273749
Flicker,2005,d3,76,313,85,312,0.89,0.68,1.16,0.064383324,0.998795664,0.064305785,0.075273775,0.07518312
Schleithoff,2006,d3,7,61,6,62,1.19,0.42,3.33,-0.0961068,0.99378882,-0.095509863,0.29181318,0.290000675
Burleigh,2007,d3,16,101,13,104,1.27,0.64,2.5,-0.132053536,0.996300863,-0.131565052,0.192042202,0.191331812
Lappe,2007,d3,4,446,12,445,0.33,0.11,1.02,0.612520787,0.999156118,0.612003892,0.313885097,0.313620215
Chel,2008,d3,25,166,33,172,0.78,0.49,1.26,0.137271469,0.997766195,0.136964832,0.133112754,0.132815406
Sanders,2010,d3,40,1131,47,1127,0.85,0.56,1.28,0.089789464,0.999667516,0.08975961,0.116512371,0.116473632
Lips,2010,d3,1,114,0,112,2.95,0.12,71.6,-0.597682415,0.996648045,-0.59567901,0.900800345,0.897780903
Janssen,2010,d3,0,36,1,34,0.32,0.01,7.48,0.629521703,0.988929889,0.622552828,0.932659119,0.922334479
Grimnes,2011,d3,0,51,1,53,0.35,0.01,8.31,0.580012223,0.992628993,0.575736949,0.947489823,0.940505869
Cherniack,2011,d3,1,23,0,23,3,0.13,70.02,-0.606968115,0.982857143,-0.596562948,0.886374132,0.871179147
Glendenning,2012,d3,2,353,0,333,4.72,0.23,97.9,-0.857352928,0.998903108,-0.856412504,0.853199701,0.852263833
Punthakee,2012,d3,0,607,2,614,0.2,0.01,4.21,0.889192217,0.999384615,0.888645022,0.851650811,0.851126718
Lehouck,2012,d3,9,91,6,91,1.5,0.56,4.04,-0.224013872,0.995827538,-0.223079183,0.278507045,0.277344985
RECORD,2012,d3,836,2649,881,2643,0.95,0.88,1.02,0.028338837,0.999858216,0.028334819,0.02080787,0.02080492
Witham,2013,d3,0,80,1,79,0.33,0.01,7.96,0.612520787,0.995215311,0.609590066,0.941425074,0.936920648
Rizzoli,2014,d3,0,413,1,105,0.09,0.001,2.08,1.33035669,0.998545807,1.328422095,1.076801665,1.075235788
Massart,2014,d3,0,29,1,32,0.37,0.02,8.66,0.549310648,0.987234043,0.542298172,0.855611925,0.844689219
Uusi-Risi,2015,d3,2,204,2,205,1,0.14,7.07,0,0.998156116,0,0.552764311,0.551745077
Baron,2015,d3,15,1130,12,1129,1.25,0.59,2.66,-0.12328373,0.999667664,-0.123242758,0.212250376,0.212179837
Martineau,2015,d3,6,122,2,118,2.9,0.6,14.09,-0.588237976,0.996845426,-0.586382336,0.444848764,0.443445456
Jorde,2016,d3,1,256,2,255,0.5,0.05,5.46,0.382954243,0.998525799,0.382389692,0.661458601,0.660483477
Arden,2016,d3,1,237,1,237,1,0.06,15.89,0,0.998410175,0,0.786320428,0.785070316
Witte,2016,d3,1,114,2,109,0.48,0.04,5.2,0.405507832,0.996602492,0.404130115,0.686032029,0.683701229
Jin,2016,d3,1,209,0,204,2.93,0.12,71.47,-0.593923991,0.998174072,-0.592839528,0.900544215,0.898899886
ViDA,2017,d3,65,2558,58,2550,1.12,0.79,1.58,-0.062612533,0.999853107,-0.062603336,0.097692409,0.097678059
Levis,2017,d3,0,66,1,64,0.32,0.01,7.79,0.629521703,0.994129159,0.625825881,0.938382434,0.932873339
Hin,2017,d3,0,204,3,101,0.07,0.001,1.36,1.46920444,0.997522709,1.465564793,1.016918477,1.014399274
EVITA,2017,d3,39,199,36,201,1.09,0.73,1.65,-0.047611987,0.998114393,-0.047522209,0.11493489,0.114718168
VITAL,2018,d3,485,"12,927",493,"12,944",0.99,0.87,1.11,0.005552672,0.999971007,0.005552511,0.034336183,0.034335187
Akiba,2018,d3,12,77,12,78,1.01,0.49,2.11,-0.00549742,0.995090016,-0.005470428,0.205778249,0.204767882
Owusu,2018,d3,0,130,1,130,0.33,0.01,8.11,0.612520787,0.997090204,0.610738476,0.944056271,0.94130926
Corless,1985,d2,8,41,8,41,1,0.42,2.41,0,0.990595611,0,0.246240742,0.243924999
Cooper,2003,d2,0,93,1,94,0.34,0.01,8.16,0.596027437,0.99594046,0.59360784,0.944922533,0.941086582
Harwood,2004,d2,7,32,5,36,1.57,0.55,4.47,-0.249213049,0.988593156,-0.246370315,0.295301811,0.291933349
Law,2006,d2,347,1762,322,1955,1.2,1.04,1.37,-0.100730142,0.999798102,-0.100709805,0.038841756,0.038833914
Broe,2007,d2,5,99,2,25,0.63,0.13,3.07,0.25526821,0.993839836,0.253695716,0.445639079,0.442893869
Smith,2007,d2,355,4727,354,4713,1,0.87,1.15,0,0.999920532,0,0.039325743,0.039322618
Lyons,2007,d2,947,1725,953,1715,0.99,0.93,1.05,0.005552672,0.999781834,0.00555146,0.017104642,0.017100911
Prince,2008,d2,0,151,1,151,0.33,0.01,8.12,0.612520787,0.997497915,0.610988208,0.94422995,0.941867406
Witham,2010,d2,4,53,2,52,1.96,0.38,10.26,-0.371792527,0.99270073,-0.369078713,0.464516415,0.461125784
