"source_article","stratum","citation_key","year","title","journal","doi","pmid","url","bibtex_entry_type","data_dir","extraction_files","match_status","notes"
"cai2012","Caffeine","caiEffectCoffeeConsumption2012","2012","The Effect of Coffee Consumption on Serum Lipids: A Meta-Analysis of Randomized Controlled Trials","European Journal of Clinical Nutrition","10.1038/ejcn.2012.68","","","article","data/Caffeine/cai2012","cai2012_caffeine_hdl_cholesterol.csv; cai2012_caffeine_hdl_cholesterol.xlsx; cai2012_caffeine_ldl_cholesterol.csv; cai2012_caffeine_ldl_cholesterol.xlsx; cai2012_caffeine_total_cholesterol.csv; cai2012_caffeine_total_cholesterol.xlsx; cai2012_caffeine_triglycerides.csv; cai2012_caffeine_triglycerides.xlsx","exact",""
"chen2024","Caffeine","chenEffectCaffeineIngestion2024","2024","Effect of Caffeine Ingestion on Time Trial Performance in Cyclists: A Systematic Review and Meta-Analysis","Journal of the International Society of Sports Nutrition","10.1080/15502783.2024.2363789","","","article","data/Caffeine/chen2024","chen2024_caffeine_time_trial_performance.xlsx; chen2024_caffeine_time_trial_performance_excl.csv","exact","stratum-disambiguated from 2 candidates (1); other keys (likely duplicates of same paper or wrong-stratum entries): chenEfficacyVitaminSupplementation2024"
"grgic2018","Caffeine","grgicEffectsCaffeineIntake2018","2018","Effects of Caffeine Intake on Muscle Strength and Power: A Systematic Review and Meta-Analysis","Journal of the International Society of Sports Nutrition","10.1186/s12970-018-0216-0","","","article","data/Caffeine/grgic2018","grgic2018_caffeine_max_muscular_strength.csv; grgic2018_caffeine_max_muscular_strength.xlsx","exact",""
"grgic2019","Caffeine","grgicEffectsCaffeineIngestion2019","2019","The Effects of Caffeine Ingestion on Isokinetic Muscular Strength: A Meta-Analysis","Journal of Science and Medicine in Sport","10.1016/j.jsams.2018.08.016","","","article","data/Caffeine/grgic2019","grgic2019_caffeine_isokinetic_muscular_strength.csv; grgic2019_caffeine_isokinetic_muscular_strength.xlsx","exact",""
"irwin2020","Caffeine","irwinEffectsAcuteCaffeine2020","2020","Effects of Acute Caffeine Consumption Following Sleep Loss on Cognitive, Physical, Occupational and Driving Performance: A Systematic Review and Meta-Analysis","Neuroscience \& Biobehavioral Reviews","10.1016/j.neubiorev.2019.12.008","","","article","data/Caffeine/irwin2020","irwin2020_caffeine_attention_accuracy.csv; irwin2020_caffeine_attention_accuracy.xlsx; irwin2020_caffeine_attention_speed.csv; irwin2020_caffeine_attention_speed.xlsx; irwin2020_caffeine_executive_function.xlsx; irwin2020_caffeine_executive_function_excl.csv; irwin2020_caffeine_processing_accuracy.csv; irwin2020_caffeine_processing_accuracy.xlsx; irwin2020_caffeine_processing_speed.xlsx; irwin2020_caffeine_processing_speed_collapsed.csv; irwin2020_caffeine_processing_speed_excl.csv","exact",""
"polito2016","Caffeine","politoAcuteEffectCaffeine2016","2016","Acute Effect of Caffeine Consumption on Isotonic Muscular Strength and Endurance: A Systematic Review and Meta-Analysis","Science \& Sports","10.1016/j.scispo.2016.01.006","","","article","data/Caffeine/polito2016","polito2016_caffeine_muscle_endurance.csv; polito2016_caffeine_muscle_endurance.xlsx","exact",""
"rayagonzalez2019","Caffeine","rayagonzalezAcuteEffectsCaffeine2020","2020","Acute Effects of Caffeine Supplementation on Movement Velocity in Resistance Exercise: A Systematic Review and Meta-analysis","Sports Medicine","10.1007/s40279-019-01211-9","","","article","data/Caffeine/rayagonzalez2019","rayagonzalez2019_caffeine_movement_velocity.csv; rayagonzalez2019_caffeine_movement_velocity.xlsx","probable","matched by surname; bib year 2020 vs src year 2019 (yr-diff 1, within ±1)"
"shen2019","Caffeine","shenEstablishingRelationshipEffect2019","2019","Establishing a Relationship between the Effect of Caffeine and Duration of Endurance Athletic Time Trial Events: A Systematic Review and Meta-Analysis","Journal of Science and Medicine in Sport","10.1016/j.jsams.2018.07.022","","","article","data/Caffeine/shen2019","shen2019_caffeine_time_trial_endurance.csv; shen2019_caffeine_time_trial_endurance.xlsx","exact",""
"southward2018","Caffeine","southwardEffectAcuteCaffeine2018","2018","The Effect of Acute Caffeine Ingestion on Endurance Performance: A Systematic Review and Meta--Analysis","Sports Medicine","10.1007/s40279-018-0939-8","","","article","data/Caffeine/southward2018","southward2018_caffeine_power_output.csv; southward2018_caffeine_power_output.xlsx; southward2018_caffeine_trial_time.xlsx; southward2018_caffeine_trial_time_excl.csv","exact",""
"wang2022","Caffeine","wangEffectsCaffeineIntake2022","2022","Effects of Caffeine Intake on Endurance Running Performance and Time to Exhaustion: A Systematic Review and Meta-Analysis","Nutrients","10.3390/nu15010148","","","article","data/Caffeine/wang2022","wang2022_caffeine_exhaustion_time.csv; wang2022_caffeine_exhaustion_time.xlsx; wang2022_caffeine_trial_time.csv; wang2022_caffeine_trial_time.xlsx","exact",""
"chilibeck2017","Creatine","chilibeckEffectCreatineSupplementation2017","2017","Effect of Creatine Supplementation during Resistance Training on Lean Tissue Mass and Muscular Strength in Older Adults: A Meta-Analysis","Open Access Journal of Sports Medicine","10.2147/OAJSM.S123529","","","article","data/Creatine/chilibeck2017","chilibeck2017_creatine_chest_press_strength.csv; chilibeck2017_creatine_chest_press_strength.xlsx; chilibeck2017_creatine_lean_tissue_mass.csv; chilibeck2017_creatine_lean_tissue_mass.xlsx; chilibeck2017_creatine_leg_press_strength.csv; chilibeck2017_creatine_leg_press_strength.xlsx","exact",""
"desai2024","Creatine","desaiEffectCreatineSupplementation2024","2024","The Effect of Creatine Supplementation on Resistance Training--Based Changes to Body Composition: A Systematic Review and Meta-analysis","Journal of Strength \& Conditioning Research","10.1519/JSC.0000000000004862","","","article","data/Creatine/desai2024","desai2024_creatine_body_fat_mass.csv; desai2024_creatine_body_fat_mass.xlsx; desai2024_creatine_body_fat_percentage.csv; desai2024_creatine_body_fat_percentage.xlsx; desai2024_creatine_lean_body_mass.csv; desai2024_creatine_lean_body_mass.xlsx","exact",""
"devries2014","Creatine","devriesCreatineSupplementationResistance2014","2014","Creatine Supplementation during Resistance Training in Older Adults---A Meta-analysis","Medicine \& Science in Sports \& Exercise","10.1249/MSS.0000000000000220","","","article","data/Creatine/devries2014","devries2014_creatine_fat_free_mass.csv; devries2014_creatine_fat_free_mass.xlsx; devries2014_creatine_total_body_mass.csv; devries2014_creatine_total_body_mass.xlsx","exact",""
"doma2022","Creatine","domaParadoxicalEffectCreatine2022","2022","The Paradoxical Effect of Creatine Monohydrate on Muscle Damage Markers: A Systematic Review and Meta-Analysis","Sports Medicine","10.1007/s40279-022-01640-z","","","article","data/Creatine/doma2022","doma2022_creatine_24h_post_protocol.csv; doma2022_creatine_24h_post_protocol.xlsx; doma2022_creatine_48h_post_protocol.xlsx","exact",""
"fernandezlanda2023","Creatine","fernandez-landaEffectsCreatineMonohydrate2023","2023","Effects of Creatine Monohydrate on Endurance Performance in a Trained Population: A Systematic Review and Meta-analysis","Sports Medicine","10.1007/s40279-023-01823-2","","","article","data/Creatine/fernandezlanda2023","fernandezlanda2023_creatine_endurance_performance.csv; fernandezlanda2023_creatine_endurance_performance.xlsx","exact",""
