"topic","author","effect","measure","effect_direction","basename","out_dir","n_studies","mu_RE","tau_RE","mu_RE_lCI","mu_RE_uCI","eff_prior_RE","eff_post_RE","eff_bf_RE","het_prior_RE","het_post_RE","het_bf_RE","mu_BC","tau_BC","mu_BC_lCI","mu_BC_uCI","eff_prior_BC","eff_post_BC","eff_bf_BC","het_prior_BC","het_post_BC","het_bf_BC","bias_prior_BC","bias_post_BC","bias_bf_BC","algorithm","sample","burnin","adapt","chains","parallel","seed","timestamp"
"caffeine","cai2012","hdl_cholesterol","SMD_g","positive","cai2012_caffeine_hdl_cholesterol","output/caffeine/cai2012",17,-0.00381644,0.100023556,-0.105971532,0.099429022,1,1,Inf,1,1,Inf,-0.000607201,0.018638481,-0.003646244,0,0.5,0.0436,0.04558762,0.5,0.20002,0.250031251,0.5,0.23174,0.301642673,"ss",10000,10000,10000,5,TRUE,1,"2026-04-19T07:11:06-0500"
"caffeine","cai2012","ldl_cholesterol","SMD_g","positive","cai2012_caffeine_ldl_cholesterol","output/caffeine/cai2012",15,0.23625087,0.210660145,0.070995724,0.402080038,1,1,Inf,1,1,Inf,0.08530045,0.202169445,-0.019246158,0.345882118,0.5,0.44054,0.787437887,0.5,0.8694,6.656967841,0.5,0.64326,1.803161967,"ss",10000,10000,10000,5,TRUE,1,"2026-04-19T07:11:30-0500"
"caffeine","cai2012","total_cholesterol","SMD_g","positive","cai2012_caffeine_total_cholesterol","output/caffeine/cai2012",22,0.316927053,0.219002863,0.185792146,0.461292217,1,1,Inf,1,1,Inf,0.049025263,0.24470815,-0.046572292,0.349480069,0.5,0.29482,0.418077654,0.5,0.9689,31.15434084,0.5,0.93338,14.01050736,"ss",10000,10000,10000,5,TRUE,1,"2026-04-19T07:12:14-0500"
"caffeine","cai2012","triglycerides","SMD_g","positive","cai2012_caffeine_triglycerides","output/caffeine/cai2012",11,0.268016216,0.214624474,0.081943486,0.46234585,1,1,Inf,1,1,Inf,0.072776846,0.216779172,-0.044712909,0.373170412,0.5,0.36964,0.586395076,0.5,0.90598,9.636034886,0.5,0.76558,3.265847624,"ss",10000,10000,10000,5,TRUE,1,"2026-04-19T07:12:41-0500"
"caffeine","chen2024","time_trial_performance_excl","SMD_g","positive","chen2024_caffeine_time_trial_performance_excl","output/caffeine/chen2024",14,0.43682347,0.130731766,0.202020733,0.672377509,1,1,Inf,1,1,Inf,0.047191911,0.04962977,-0.640868528,0.544973849,0.5,0.40622,0.684125434,0.5,0.34006,0.515289269,0.5,0.86708,6.523322299,"ss",10000,10000,10000,5,TRUE,1,"2026-04-19T07:13:15-0500"
"caffeine","grgic2018","max_muscular_strength","SMD_g","positive","grgic2018_caffeine_max_muscular_strength","output/caffeine/grgic2018",11,0.195721928,0.101195475,0.013154074,0.377923079,1,1,Inf,1,1,Inf,-0.00012688,0.027677235,-0.175085637,0.18381134,0.5,0.1575,0.18694362,0.5,0.25388,0.340266981,0.5,0.9402,15.72240803,"ss",10000,10000,10000,5,TRUE,1,"2026-04-19T07:15:09-0500"
"caffeine","grgic2019","isokinetic_muscular_strength","SMD_g","positive","grgic2019_caffeine_isokinetic_muscular_strength","output/caffeine/grgic2019",10,0.160129557,0.149392144,0.041613139,0.278280555,1,1,Inf,1,1,Inf,0.046306341,0.163813671,0,0.231656123,0.5,0.34588,0.528771479,0.5,0.98194,54.3709856,0.5,0.67904,2.115653041,"ss",10000,10000,10000,5,TRUE,1,"2026-04-19T07:15:33-0500"
"caffeine","irwin2020","attention_accuracy","SMD_g","positive","irwin2020_caffeine_attention_accuracy","output/caffeine/irwin2020",27,0.667475567,0.393233798,0.471582134,0.870779012,1,1,Inf,1,1,Inf,0.06737406,0.349096474,-0.108057536,0.589691234,0.5,0.29532,0.419083839,0.5,0.99986,7141.857143,0.5,0.97778,44.00450045,"ss",10000,10000,10000,5,TRUE,1,"2026-04-19T07:16:08-0500"
"caffeine","irwin2020","attention_speed","SMD_g","positive","irwin2020_caffeine_attention_speed","output/caffeine/irwin2020",44,0.676903598,0.35230765,0.530847028,0.827481684,1,1,Inf,1,1,Inf,0.286910677,0.410442708,-0.001762171,0.7666469,0.5,0.62158,1.642566461,0.5,1,Inf,0.5,0.80558,4.143503755,"ss",10000,10000,10000,5,TRUE,1,"2026-04-19T07:17:10-0500"
"caffeine","irwin2020","executive_function_excl","SMD_g","positive","irwin2020_caffeine_executive_function_excl","output/caffeine/irwin2020",37,0.290692118,0.298935097,0.125691617,0.45822904,1,1,Inf,1,1,Inf,0.091640299,0.254515528,-0.021772242,0.386095475,0.5,0.43272,0.762797913,0.5,0.8344,5.038647343,0.5,0.78238,3.595165885,"ss",10000,10000,10000,5,TRUE,1,"2026-04-19T07:18:33-0500"
