"dataset_id","analysis_id","stratum","ODR","EDR","Soric_FDR","MissingN","run_id"
"cai2012_caffeine_hdl_cholesterol","nutrition_v4__caffeine__cai2012__hdl_cholesterol__main","caffeine",0.06,0.0500000000000001,1,0,"20260516T153915_cai2012_caffeine_hdl_cholesterol"
"cai2012_caffeine_ldl_cholesterol","nutrition_v4__caffeine__cai2012__ldl_cholesterol__main","caffeine",0.2,0.22599387937527,0.180257820958776,0,"20260516T153943_cai2012_caffeine_ldl_cholesterol"
"cai2012_caffeine_total_cholesterol","nutrition_v4__caffeine__cai2012__total_cholesterol__main","caffeine",0.36,0.259349219679829,0.150305523701731,0,"20260516T154011_cai2012_caffeine_total_cholesterol"
"cai2012_caffeine_triglycerides","nutrition_v4__caffeine__cai2012__triglycerides__main","caffeine",0.27,0.263560726749678,0.147062736678014,0,"20260516T154042_cai2012_caffeine_triglycerides"
"chen2024_caffeine_time_trial_performance_excl","nutrition_v4__caffeine__chen2024__time_trial_performance__excl","caffeine",0.14,0.0614030457165668,0.804517745922488,0,"20260516T154109_chen2024_caffeine_time_trial_performance_excl"
"grgic2018_caffeine_max_muscular_strength","nutrition_v4__caffeine__grgic2018__max_muscular_strength__main","caffeine",0,0.0500000000000001,1,15.2371797480097,"20260516T154138_grgic2018_caffeine_max_muscular_strength"
"grgic2019_caffeine_isokinetic_muscular_strength","nutrition_v4__caffeine__grgic2019__isokinetic_muscular_strength__main","caffeine",0.4,0.396118899319063,0.0802365549832655,0,"20260516T154209_grgic2019_caffeine_isokinetic_muscular_strength"
"irwin2020_caffeine_attention_accuracy","nutrition_v4__caffeine__irwin2020__attention_accuracy__main","caffeine",0.52,0.208015904290183,0.200385513151945,0,"20260516T154236_irwin2020_caffeine_attention_accuracy"
"irwin2020_caffeine_attention_speed","nutrition_v4__caffeine__irwin2020__attention_speed__main","caffeine",0.41,0.355011806988554,0.0956214622879261,0,"20260516T154305_irwin2020_caffeine_attention_speed"
"irwin2020_caffeine_executive_function_excl","nutrition_v4__caffeine__irwin2020__executive_function__excl","caffeine",0.19,0.148763517352397,0.301162011725517,7.41779751908231,"20260516T154339_irwin2020_caffeine_executive_function_excl"
"irwin2020_caffeine_processing_accuracy","nutrition_v4__caffeine__irwin2020__processing_accuracy__main","caffeine",0.35,0.0662829149347893,0.741412844286059,0,"20260516T154416_irwin2020_caffeine_processing_accuracy"
"irwin2020_caffeine_processing_speed_collapsed","nutrition_v4__caffeine__irwin2020__processing_speed_collapsed__main","caffeine",0.73,0.554925530378686,0.0422128210391927,0,"20260516T154446_irwin2020_caffeine_processing_speed_collapsed"
"irwin2020_caffeine_processing_speed_excl","nutrition_v4__caffeine__irwin2020__processing_speed__excl","caffeine",0.79,0.405697454578203,0.0770995268352303,0,"20260516T154513_irwin2020_caffeine_processing_speed_excl"
"polito2016_caffeine_muscle_endurance","nutrition_v4__caffeine__polito2016__muscle_endurance__main","caffeine",0.36,0.19786467693821,0.213366272590217,70.2328368053947,"20260516T154539_polito2016_caffeine_muscle_endurance"
"rayagonzalez2019_caffeine_movement_velocity","nutrition_v4__caffeine__rayagonzalez2019__movement_velocity__main","caffeine",0.4,0.0681857852890556,0.719253904853213,0,"20260516T154622_rayagonzalez2019_caffeine_movement_velocity"
"southward2018_caffeine_power_output","nutrition_v4__caffeine__southward2018__power_output__main","caffeine",0.03,0.0500000000000001,1,34.0789743396961,"20260516T154649_southward2018_caffeine_power_output"
"southward2018_caffeine_trial_time_excl","nutrition_v4__caffeine__southward2018__trial_time__excl","caffeine",0.11,0.0500000000000001,0.999999999999999,78.549614618242,"20260515T183002_southward2018_caffeine_trial_time_excl"
"wang2022_caffeine_exhaustion_time","nutrition_v4__caffeine__wang2022__exhaustion_time__main","caffeine",0.25,0.0783329719814399,0.619264033856413,0,"20260515T183037_wang2022_caffeine_exhaustion_time"
"wang2022_caffeine_trial_time","nutrition_v4__caffeine__wang2022__trial_time__main","caffeine",0,0.0500000000000001,1,15.7645190288357,"20260515T183038_wang2022_caffeine_trial_time"
