"Effect","Heterogeneity","Publication Bias","prior_prob","post_prob","inclusion_BF","BF_error_percent","effect_present","het_present","bias_present","mu_family","tau_family","omega_family","rigor_family"
"Spike(0)","Spike(0)","None",0.125,0.5771,9.55237644833294,1.43438344525619,FALSE,FALSE,FALSE,"mu0","tau0","omega0",FALSE
"Normal(0, 0.71)","Spike(0)","None",0.125,0.0342666666666667,0.248377744028717,4.40834884732259,TRUE,FALSE,FALSE,"muplus","tau0","omega0",TRUE
"Spike(0)","Normal(0, 0.35)[0, Inf]","None",0.125,0.1469,1.20536865549174,2.13082711289386,FALSE,TRUE,FALSE,"mu0","tauplus","omega0",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","None",0.125,0.00996666666666667,0.0704690077775159,7.07799277664629,TRUE,TRUE,FALSE,"muplus","tauplus","omega0",TRUE
"Spike(0)","Spike(0)","omega[two-sided: .05]",0.0104166666666667,0.0341,3.35386685992339,3.24957485328513,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[two-sided: .05]",0.0104166666666667,0.00163333333333333,0.155420520182966,15.2032340680395,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[two-sided: .05]",0.0104166666666667,0.00666666666666667,0.63758389261745,7.38785714237762,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[two-sided: .05]",0.0104166666666667,0.000333333333333333,0.031677225741914,31.6288911810012,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","omega[two-sided: .05, .1]",0.0104166666666667,0.0208666666666667,2.02457956015524,4.15173745765228,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[two-sided: .05, .1]",0.0104166666666667,0.0014,0.133186461045464,16.5920821876646,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[two-sided: .05, .1]",0.0104166666666667,0.00373333333333333,0.355995717344754,9.87412272808429,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[two-sided: .05, .1]",0.0104166666666667,0.000266666666666667,0.0253400906908509,35.3603479076344,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","omega[one-sided: .05]",0.0104166666666667,0.0216666666666667,2.10391822827939,4.04901675909219,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[one-sided: .05]",0.0104166666666667,0.00106666666666667,0.101441537640149,19.299367123375,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .05]",0.0104166666666667,0.00466666666666667,0.445411922304086,9.31914848376628,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .05]",0.0104166666666667,3e-04,0.0285085525657697,33.338148151833,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","omega[one-sided: .025, .05]",0.0104166666666667,0.0142,1.36843173057415,5.09648617423779,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[one-sided: .025, .05]",0.0104166666666667,0.00103333333333333,0.098268210484167,20.1720339765062,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .025, .05]",0.0104166666666667,0.00296666666666667,0.282671926715924,11.6404448489363,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .025, .05]",0.0104166666666667,0.000166666666666667,0.0158359726621104,44.7270248061123,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
