"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.9383,15.2074554294976,3.95312853827977
"Effect","Normal(0, 0.71)","Alternative",0.5,0.0617,0.0657572205051689,3.95312853827977
"Heterogeneity","Spike(0)","Null",0.5,0.800366666666667,4.009183503089,2.01459158813743
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.199633333333333,0.249427345799842,2.01459158813743
"Publication Bias","None","Null",0.5,0.768233333333333,3.3146843089314,1.48475610446087
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0427333333333333,1.02674280938784,2.91001330776842
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0262666666666667,0.620429960290292,3.73735397521482
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0277,0.655250437107889,3.60695692159686
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0183666666666667,0.430337193113518,4.39669703941218
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0287,0.679604653557089,3.71897388955579
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0218333333333333,0.513375362071903,4.19113356687914
"Publication Bias","PET","Alternative",0.125,0.0356,0.258399004562422,3.82092938479385
"Publication Bias","PEESE","Alternative",0.125,0.0305666666666667,0.220713131382595,3.95025141775325
