"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.649466666666667,1.85279573982503,3.70269093803944
"Effect","Normal(0, 0.71)","Alternative",0.5,0.350533333333333,0.539724902484089,3.70269093803944
"Heterogeneity","Spike(0)","Null",0.5,0.0267,0.0274324463166547,5.73317809291868
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.9733,36.4531835205993,5.73317809291869
"Publication Bias","None","Null",0.5,0.0771,0.0835410120273052,5.51472760013142
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00303333333333333,0.0699789361061888,11.5226619724988
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00193333333333333,0.0445528020840291,14.8560813394189
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0023,0.0530219504861181,13.6850860717237
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0022,0.0507115654439768,14.022162221586
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.199233333333333,5.72247429546684,3.77092425558226
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.187066666666667,5.29260291946859,3.87306264409407
"Publication Bias","PET","Alternative",0.125,0.314,3.20408163265306,3.70634660944386
"Publication Bias","PEESE","Alternative",0.125,0.213133333333333,1.896043378802,3.34870010469646
