"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.523566666666667,1.09892954593157,4.16156414422301
"Effect","Normal(0, 0.71)","Alternative",0.5,0.476433333333333,0.909976443623862,4.161564144223
"Heterogeneity","Spike(0)","Null",0.5,0.1336,0.154201292705448,2.91254029381629
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.8664,6.48502994011976,2.91254029381628
"Publication Bias","None","Null",0.5,0.2405,0.316655694535879,4.0730391212359
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0129,0.300577449093304,6.29519146045502
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0208,0.488562091503268,5.45422384164195
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0682666666666667,1.68517458500286,3.10184974717957
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0464333333333333,1.11997063655749,3.78800707689616
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.205566666666667,5.95145386648764,2.66731218678582
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.161966666666667,4.44520902112088,2.83039632248027
"Publication Bias","PET","Alternative",0.125,0.164133333333333,1.37454139416175,3.42922602012011
"Publication Bias","PEESE","Alternative",0.125,0.0794333333333333,0.60401202158091,3.5773730223036
