"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.6546,1.89519397799653,6.47657276922929
"Effect","Normal(0, 0.71)","Alternative",0.5,0.3454,0.527650473571647,6.47657276922929
"Heterogeneity","Spike(0)","Null",0.5,0.510633333333333,1.043457530141,2.01424315384996
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.489366666666667,0.958352372870292,2.01424315384995
"Publication Bias","None","Null",0.5,0.0302666666666667,0.0312113295751409,16.1298997857167
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00163333333333333,0.0376281259390338,19.1070757563546
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00566666666666667,0.131076097888032,15.5957709730663
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0134666666666667,0.313961346127855,13.6523211895969
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0108333333333333,0.251895534962089,13.7699972488091
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.00623333333333333,0.144265924261228,14.8913940940274
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.00466666666666667,0.107836570663094,13.587403649124
"Publication Bias","PET","Alternative",0.125,0.641766666666667,12.5403368381874,5.79323850262402
"Publication Bias","PEESE","Alternative",0.125,0.285466666666667,2.79660384400075,5.26887004096466
