"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.4874,0.950838860710105,5.00007981096361
"Effect","Normal(0, 0.71)","Alternative",0.5,0.5126,1.05170291341814,5.00007981096361
"Heterogeneity","Spike(0)","Null",0.5,0.679,2.11526479750779,1.55176447875748
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.321,0.472754050073638,1.55176447875748
"Publication Bias","None","Null",0.5,0.174,0.210653753026634,7.02754843405709
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0110333333333333,0.256597795678992,7.30099941660677
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00706666666666667,0.163690076540889,8.73331332417783
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.00996666666666667,0.231541025554695,7.0613416449854
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0087,0.201856148491879,7.39124077832539
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0221666666666667,0.521390830066473,6.46555886907899
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0228333333333333,0.537438171584513,5.80523320011428
"Publication Bias","PET","Alternative",0.125,0.258966666666667,2.44626872385408,4.15876627920616
"Publication Bias","PEESE","Alternative",0.125,0.485266666666667,6.59927470534905,4.7047023377233
