"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.842066666666667,5.33178556352891,2.71700444198122
"Effect","Normal(0, 0.71)","Alternative",0.5,0.157933333333333,0.187554429578022,2.71700444198122
"Heterogeneity","Spike(0)","Null",0.5,0.666666666666667,2,1.72512607962793
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.333333333333333,0.5,1.72512607962793
"Publication Bias","None","Null",0.5,0.000833333333333333,0.000834028356964137,36.0155318342826
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0,0,NA
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0,0,NA
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0,0,NA
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0,0,NA
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.4212,16.7373876986869,5.45017333753347
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.577233333333333,31.4035322873137,5.51714303419368
"Publication Bias","PET","Alternative",0.125,0.000566666666666667,0.00396891571890738,51.3647225102124
"Publication Bias","PEESE","Alternative",0.125,0.000166666666666667,0.00116686114352392,52.409274996574
