"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.7657,3.26803243704652,2.93625419381416
"Effect","Normal(0, 0.71)","Alternative",0.5,0.2343,0.305994514823038,2.93625419381416
"Heterogeneity","Spike(0)","Null",0.5,0.625366666666667,1.66927662603434,1.53919292530888
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.374633333333333,0.599061883694899,1.53919292530888
"Publication Bias","None","Null",0.5,0.0326,0.0336985734959686,8.53889511268717
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0016,0.0368589743589744,16.6294899808702
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,7e-04,0.0161112778945262,22.7016580996878
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.00196666666666667,0.0453224675194549,15.8255624620785
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.001,0.023023023023023,18.8923340825067
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.376333333333333,13.878674505612,3.56551778075932
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.526366666666667,25.5607713421071,3.61908300447126
"Publication Bias","PET","Alternative",0.125,0.0343666666666667,0.249128378611619,9.67058373245216
"Publication Bias","PEESE","Alternative",0.125,0.0250666666666667,0.179978118161926,6.64040740715002
