topic,author,effect,measure,effect_direction,basename,out_dir,n_studies,mu_RE,tau_RE,mu_RE_lCI,mu_RE_uCI,eff_prior_RE,eff_post_RE,eff_bf_RE,het_prior_RE,het_post_RE,het_bf_RE,mu_BC,tau_BC,mu_BC_lCI,mu_BC_uCI,eff_prior_BC,eff_post_BC,eff_bf_BC,het_prior_BC,het_post_BC,het_bf_BC,bias_prior_BC,bias_post_BC,bias_bf_BC,algorithm,sample,burnin,adapt,chains,parallel,seed,timestamp
creatine,chilibeck2017,chest_press_strength,SMD_g,positive,chilibeck2017_creatine_chest_press_strength,output/creatine/chilibeck2017,21,0.334522514,0.122849315,0.148197222,0.521851402,1,1,Inf,1,1,Inf,0.0149476,0.053964252,-0.117365055,0.303549133,0.5,0.17404,0.210712383,0.5,0.37266,0.594031944,0.5,0.97204,34.76537911,ss,10000,10000,10000,5,TRUE,1,2026-04-19T19:20:51-0500
creatine,chilibeck2017,lean_tissue_mass,SMD_g,positive,chilibeck2017_creatine_lean_tissue_mass,output/creatine/chilibeck2017,21,0.481204325,0.262635262,0.272485947,0.69275666,1,1,Inf,1,1,Inf,-0.025497323,0.49630234,-0.84872105,0.486686884,0.5,0.32152,0.473882797,0.5,0.96748,29.7503075,0.5,0.95638,21.92526364,ss,10000,10000,10000,5,TRUE,1,2026-04-19T19:21:40-0500
creatine,chilibeck2017,leg_press_strength,SMD_g,positive,chilibeck2017_creatine_leg_press_strength,output/creatine/chilibeck2017,20,0.228772806,0.167248142,0.027544484,0.429034509,1,1,Inf,1,1,Inf,0.052805451,0.067482786,-0.047622274,0.342176716,0.5,0.32628,0.484296147,0.5,0.41666,0.714266123,0.5,0.71624,2.524104877,ss,10000,10000,10000,5,TRUE,1,2026-04-19T19:22:12-0500
creatine,desai2024,body_fat_mass,SMD_g,positive,desai2024_creatine_body_fat_mass,output/creatine/desai2024,7,0.651600498,0.885797581,-0.112541027,1.340786645,1,1,Inf,1,1,Inf,0.248466276,0.924858255,-0.44029429,1.16174523,0.5,0.52216,1.092750712,0.5,0.9969,321.5806452,0.5,0.57714,1.364848886,ss,10000,10000,10000,5,TRUE,1,2026-04-19T19:22:28-0500
creatine,desai2024,body_fat_percentage,SMD_g,positive,desai2024_creatine_body_fat_percentage,output/creatine/desai2024,9,0.81095674,2.190307116,-0.43620215,1.950636577,1,1,Inf,1,1,Inf,0.292236309,2.184341539,-0.788567069,1.662550169,0.5,0.53292,1.140960863,0.5,1,Inf,0.5,0.5581,1.26295542,ss,10000,10000,10000,5,TRUE,1,2026-04-19T19:22:44-0500
creatine,desai2024,lean_body_mass,SMD_g,positive,desai2024_creatine_lean_body_mass,output/creatine/desai2024,12,0.820402184,0.17083009,0.563713234,1.079432887,1,1,Inf,1,1,Inf,0.506004205,0.082428672,-0.048643093,1.018336213,0.5,0.7519,3.030632809,0.5,0.4405,0.787310098,0.5,0.6216,1.642706131,ss,10000,10000,10000,5,TRUE,1,2026-04-19T19:23:03-0500
creatine,devries2014,fat_free_mass,SMD_g,positive,devries2014_creatine_fat_free_mass,output/creatine/devries2014,9,1.122405473,1.944179388,-0.101979199,2.186584487,1,1,Inf,1,1,Inf,0.207386848,2.236659476,-1.203935991,1.725967477,0.5,0.5291,1.12359312,0.5,1,Inf,0.5,0.85208,5.760411033,ss,10000,10000,10000,5,TRUE,1,2026-04-19T19:23:26-0500
creatine,devries2014,total_body_mass,SMD_g,positive,devries2014_creatine_total_body_mass,output/creatine/devries2014,9,0.664750458,0.393615947,0.246632407,1.043940434,1,1,Inf,1,1,Inf,0.476162247,0.392349021,0,0.983054321,0.5,0.791553846,3.797402022,0.5,0.848292308,5.591623568,0.5,0.433492308,0.765201097,ss,10000,10000,10000,5,TRUE,1,2026-04-19T19:24:06-0500
creatine,doma2022,24h_post_protocol,SMD_g,positive,doma2022_creatine_24h_post_protocol,output/creatine/doma2022,15,0.07129245,0.939907904,-0.462047093,0.601196223,1,1,Inf,1,1,Inf,-0.005671652,0.882208892,-0.417515076,0.337263783,0.5,0.21836,0.279361343,0.5,0.99898,979.3921569,0.5,0.31378,0.457258605,ss,10000,10000,10000,5,TRUE,1,2026-04-19T21:02:59-0500
creatine,fernandezlanda2023,endurance_performance,SMD_g,positive,fernandezlanda2023_creatine_endurance_performance,output/creatine/fernandezlanda2023,13,0.071599277,0.148980433,-0.14917976,0.289954775,1,1,Inf,1,1,Inf,0.005580733,0.043868653,-0.032855813,0.139055551,0.5,0.11576,0.130914684,0.5,0.32472,0.480867196,0.5,0.36728,0.580477937,ss,10000,10000,10000,5,TRUE,1,2026-04-19T21:03:37-0500
