"dataset_id","analysis_id","stratum","ODR","EDR","Soric_FDR","MissingN","run_id"
"chilibeck2017_creatine_chest_press_strength","nutrition_v4__creatine__chilibeck2017__chest_press_strength__main","creatine",0.14,0.0501062535103498,0.997767827574001,39.6490035884043,"20260515T183059_chilibeck2017_creatine_chest_press_strength"
"chilibeck2017_creatine_lean_tissue_mass","nutrition_v4__creatine__chilibeck2017__lean_tissue_mass__main","creatine",0.19,0.226992459848473,0.179233300581093,24.2333641940167,"20260515T183110_chilibeck2017_creatine_lean_tissue_mass"
"chilibeck2017_creatine_leg_press_strength","nutrition_v4__creatine__chilibeck2017__leg_press_strength__main","creatine",0.2,0.0585529816230802,0.846239452622702,0,"20260515T183116_chilibeck2017_creatine_leg_press_strength"
"desai2024_creatine_body_fat_mass","nutrition_v4__creatine__desai2024__body_fat_mass__main","creatine",0.43,0.346981716754287,0.099052433240453,0,"20260515T183136_desai2024_creatine_body_fat_mass"
"desai2024_creatine_body_fat_percentage","nutrition_v4__creatine__desai2024__body_fat_percentage__main","creatine",0.44,0.573298519230271,0.0391732612646679,0,"20260515T183149_desai2024_creatine_body_fat_percentage"
"desai2024_creatine_lean_body_mass","nutrition_v4__creatine__desai2024__lean_body_mass__main","creatine",0.5,0.352756035637731,0.0965694944919923,0,"20260515T183151_desai2024_creatine_lean_body_mass"
"devries2014_creatine_fat_free_mass","nutrition_v4__creatine__devries2014__fat_free_mass__main","creatine",0.67,0.611403753450033,0.0334516003770443,0,"20260515T183205_devries2014_creatine_fat_free_mass"
"devries2014_creatine_total_body_mass","nutrition_v4__creatine__devries2014__total_body_mass__main","creatine",0.44,0.345219219012894,0.0998268487204961,0,"20260515T183217_devries2014_creatine_total_body_mass"
"doma2022_creatine_24h_post_protocol","nutrition_v4__creatine__doma2022__24h_post_protocol__main","creatine",0.4,0.282297824192557,0.133808325082953,0,"20260515T183221_doma2022_creatine_24h_post_protocol"
"fernandezlanda2023_creatine_endurance_performance","nutrition_v4__creatine__fernandezlanda2023__endurance_performance__main","creatine",0.15,0.0500000000000001,1,0,"20260515T183236_fernandezlanda2023_creatine_endurance_performance"
"kazeminasab2025_creatine_leg_press_strength","nutrition_v4__creatine__kazeminasab2025__leg_press_strength__main","creatine",0.06,0.0509737235668397,0.979892146763476,0,"20260515T183249_kazeminasab2025_creatine_leg_press_strength"
"kazeminasab2025_creatine_squat_strength","nutrition_v4__creatine__kazeminasab2025__squat_strength__main","creatine",0.12,0.07538635056861,0.645526377351429,0,"20260515T183253_kazeminasab2025_creatine_squat_strength"
"kazeminasab2025_creatine_vertical_jump","nutrition_v4__creatine__kazeminasab2025__vertical_jump__main","creatine",0.11,0.295410031819951,0.125532915475391,0,"20260515T183309_kazeminasab2025_creatine_vertical_jump"
"kazeminasab2025_creatine_wingate_peak_power","nutrition_v4__creatine__kazeminasab2025__wingate_peak_power__main","creatine",0.33,0.0864399066282198,0.556248985164469,0,"20260515T183326_kazeminasab2025_creatine_wingate_peak_power"
"lanhers2015_creatine_leg_press_strength","nutrition_v4__creatine__lanhers2015__leg_press_strength__main","creatine",0.06,0.0567413260608984,0.874938904690981,0,"20260515T183327_lanhers2015_creatine_leg_press_strength"
"lanhers2015_creatine_squat_strength","nutrition_v4__creatine__lanhers2015__squat_strength__main","creatine",0,0.0544597968024214,0.913798376241584,0,"20260515T183346_lanhers2015_creatine_squat_strength"
"lanhers2017_creatine_chest_strength_excl","nutrition_v4__creatine__lanhers2017__chest_strength__excl","creatine",0.11,0.0500004491269973,0.999990544781096,55.9780665004305,"20260515T183400_lanhers2017_creatine_chest_strength_excl"
