"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.188666666666667,0.232539030402629,4.19631661255301
"Effect","Normal(0, 0.71)","Alternative",0.5,0.811333333333333,4.30035335689046,4.19631661255302
"Heterogeneity","Spike(0)","Null",0.5,0.113433333333333,0.127946760912885,2.42303196299069
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.886566666666667,7.81575080811049,2.42303196299069
"Publication Bias","None","Null",0.5,0.5444,1.19490781387182,2.45760359202771
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0339666666666667,0.808702253200373,3.42020299922972
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0199333333333333,0.467791306713829,4.42402022870919
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0309,0.73336085027345,3.52782215823927
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0305,0.72356884992264,3.49513240323513
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0528,1.28209459459459,2.87065176705846
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0609,1.49153444787563,3.16562740368262
"Publication Bias","PET","Alternative",0.125,0.155233333333333,1.28631180207552,3.18054260526807
"Publication Bias","PEESE","Alternative",0.125,0.0713666666666667,0.537959007861014,3.60492297210442
