"Effect","Heterogeneity","Publication Bias","prior_prob","post_prob","inclusion_BF","BF_error_percent","effect_present","het_present","bias_present","mu_family","tau_family","omega_family","rigor_family"
"Spike(0)","Spike(0)","None",0.125,3e-04,0.00210063018905672,33.3396305720456,FALSE,FALSE,FALSE,"mu0","tau0","omega0",FALSE
"Normal(0, 0.71)","Spike(0)","None",0.125,0.0734,0.5545003237643,3.34691261632976,TRUE,FALSE,FALSE,"muplus","tau0","omega0",TRUE
"Spike(0)","Normal(0, 0.35)[0, Inf]","None",0.125,0.0043,0.0302299889524957,9.41945871210733,FALSE,TRUE,FALSE,"mu0","tauplus","omega0",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","None",0.125,0.110233333333333,0.867231109279586,3.58470491395434,TRUE,TRUE,FALSE,"muplus","tauplus","omega0",TRUE
"Spike(0)","Spike(0)","omega[two-sided: .05]",0.0104166666666667,0.0151666666666667,1.46302250803859,6.5565217910898,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[two-sided: .05]",0.0104166666666667,0.1102,11.765565295572,3.48786356949184,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[two-sided: .05]",0.0104166666666667,0.0104,0.998383185125303,7.08890517977028,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[two-sided: .05]",0.0104166666666667,0.0619333333333333,6.27211996304456,3.33067889179393,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","omega[two-sided: .05, .1]",0.0104166666666667,0.0054,0.515785240297607,10.2378482600091,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[two-sided: .05, .1]",0.0104166666666667,0.0461333333333333,4.59463237349734,4.06679481933306,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[two-sided: .05, .1]",0.0104166666666667,0.00403333333333333,0.384718364068409,10.1831682815544,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[two-sided: .05, .1]",0.0104166666666667,0.0267333333333333,2.60942530310295,4.36320047812488,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","omega[one-sided: .05]",0.0104166666666667,0.00226666666666667,0.215822531070426,13.1993944605351,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[one-sided: .05]",0.0104166666666667,0.0083,0.795099324392457,6.74364298288403,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .05]",0.0104166666666667,0.00253333333333333,0.241277904023526,12.3391070175808,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .05]",0.0104166666666667,0.00756666666666667,0.72431397574984,6.82355025834963,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","omega[one-sided: .025, .05]",0.0104166666666667,0.0202666666666667,1.96516058791508,6.32743821982148,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[one-sided: .025, .05]",0.0104166666666667,0.0237666666666667,2.31280090142384,4.63898957086185,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .025, .05]",0.0104166666666667,0.0174666666666667,1.6888315918035,5.73156812772804,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .025, .05]",0.0104166666666667,0.0168333333333333,1.62654687235125,4.78863531116204,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","omega[one-sided: .05, .5]",0.0104166666666667,0.00316666666666667,0.301788998495235,12.1178731375314,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[one-sided: .05, .5]",0.0104166666666667,0.0053,0.506182768673972,8.20677539592907,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .05, .5]",0.0104166666666667,0.00836666666666667,0.801539547547817,7.91141507536814,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .05, .5]",0.0104166666666667,0.0074,0.708240983276244,7.34738132044625,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","omega[one-sided: .025, .05, .5]",0.0104166666666667,0.0222333333333333,2.16019500221593,6.34433526400699,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","omega[one-sided: .025, .05, .5]",0.0104166666666667,0.0151666666666667,1.46302250803859,5.40052966734732,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .025, .05, .5]",0.0104166666666667,0.0326,3.20136448211701,4.75076420069756,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","omega[one-sided: .025, .05, .5]",0.0104166666666667,0.0151333333333333,1.45975766601232,5.4188951273132,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","PET",0.03125,0.0603333333333333,1.99042213550905,4.18833898557837,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","PET",0.03125,0.0266666666666667,0.849315068493151,6.12175328897615,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","PET",0.03125,0.0816333333333333,2.7555805596893,4.02804369635586,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","PET",0.03125,0.0382,1.23123310459555,6.02118994871557,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
"Spike(0)","Spike(0)","PEESE",0.03125,0.0351333333333333,1.12879154287294,5.44715509797449,FALSE,FALSE,TRUE,"mu0","tau0","omegaplus",FALSE
"Normal(0, 0.71)","Spike(0)","PEESE",0.03125,0.0132,0.414673692744224,6.635453733329,TRUE,FALSE,TRUE,"muplus","tau0","omegaplus",FALSE
"Spike(0)","Normal(0, 0.35)[0, Inf]","PEESE",0.03125,0.0483,1.57328990228013,4.71746357734389,FALSE,TRUE,TRUE,"mu0","tauplus","omegaplus",FALSE
"Normal(0, 0.71)","Normal(0, 0.35)[0, Inf]","PEESE",0.03125,0.0199333333333333,0.630501326440378,6.12049942946019,TRUE,TRUE,TRUE,"muplus","tauplus","omegaplus",FALSE
