"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.654033333333333,1.8904518739763,3.24751058808383
"Effect","Normal(0, 0.71)","Alternative",0.5,0.345966666666667,0.528974058406809,3.24751058808383
"Heterogeneity","Spike(0)","Null",0.5,0.678266666666667,2.10816411106506,1.61819896584976
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.321733333333333,0.474346373107922,1.61819896584976
"Publication Bias","None","Null",0.5,0.3126,0.45475705557172,2.64822309896509
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0125666666666667,0.292711744252777,5.42531042344008
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00766666666666667,0.177695666778636,6.96412742030582
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0276,0.652817770464829,3.66006430732372
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0205666666666667,0.482966341081578,4.12171140891961
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.211233333333333,6.15944723830453,2.16183401760948
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.198766666666667,5.70574530931481,2.15594088547277
"Publication Bias","PET","Alternative",0.125,0.1453,1.19000819000819,3.01477317760798
"Publication Bias","PEESE","Alternative",0.125,0.0637,0.476236249065471,3.7242197549403
