"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.742133333333333,2.87797311271975,3.53356279653721
"Effect","Normal(0, 0.71)","Alternative",0.5,0.257866666666667,0.347466762486525,3.53356279653721
"Heterogeneity","Spike(0)","Null",0.5,0.397733333333333,0.660394066858535,2.01758001886248
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.602266666666667,1.51424740194435,2.01758001886248
"Publication Bias","None","Null",0.5,0.0200666666666667,0.0204775835090822,12.665839041504
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.000333333333333333,0.00766922307435812,34.3507961446285
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0,0,NA
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,4e-04,0.00920368147258904,37.5113991191836
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,1e-04,0.0023002300230023,57.7369507139243
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0888333333333333,2.24236327053228,6.03903740994887
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0497,1.20288330001052,6.72731153873899
"Publication Bias","PET","Alternative",0.125,0.246666666666667,2.29203539823009,5.11968078744566
"Publication Bias","PEESE","Alternative",0.125,0.5939,10.2371337109086,4.91680691549552
