"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.3739,0.597188947452484,4.19946876111356
"Effect","Normal(0, 0.71)","Alternative",0.5,0.6261,1.67451190157796,4.19946876111356
"Heterogeneity","Spike(0)","Null",0.5,0.4864,0.947040498442368,1.41641990539295
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.5136,1.05592105263158,1.41641990539295
"Publication Bias","None","Null",0.5,0.188233333333333,0.231881082412844,3.41677548187628
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.1977,5.66758070547177,2.94791233089622
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0823,2.06265664160401,3.30524481495198
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0206666666666667,0.485364193328795,4.22282260209706
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0783333333333333,1.95479204339964,3.27375018848601
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0242333333333333,0.571208963891641,4.33953287491706
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0851333333333333,2.1402754499745,3.53348463961573
"Publication Bias","PET","Alternative",0.125,0.206833333333333,1.82538348392519,3.86527123263104
"Publication Bias","PEESE","Alternative",0.125,0.116566666666667,0.923631287024111,4.32701071473449
