"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.811533333333333,4.30597806862398,3.974836223583
"Effect","Normal(0, 0.71)","Alternative",0.5,0.188466666666667,0.232235274788466,3.974836223583
"Heterogeneity","Spike(0)","Null",0.5,0.606566666666667,1.54172667965771,1.60518188301369
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.393433333333333,0.64862339946145,1.60518188301369
"Publication Bias","None","Null",0.5,0.0492666666666667,0.0518196479910245,8.88926884515885
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00286666666666667,0.0661228856054022,13.6775218724045
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00136666666666667,0.0314763510130512,19.3661849978386
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.00213333333333333,0.0491715660074826,14.8231349202532
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.000966666666666667,0.0222548463514731,18.5790375984313
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.407833333333333,15.8404165493949,2.84869997254047
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.447733333333333,18.6465475615645,2.89864689955575
"Publication Bias","PET","Alternative",0.125,0.0878,0.673755755316817,3.80780084284456
"Publication Bias","PEESE","Alternative",0.125,3.33333333333333e-05,0.000233341111370379,100.003333444448
