"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.5134,1.0550760378134,4.88991721278517
"Effect","Normal(0, 0.71)","Alternative",0.5,0.4866,0.947798987144527,4.88991721278517
"Heterogeneity","Spike(0)","Null",0.5,0.2472,0.328374070138151,2.25513677178116
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.7528,3.0453074433657,2.25513677178116
"Publication Bias","None","Null",0.5,0.152566666666667,0.180033827636392,6.3978627166572
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00443333333333333,0.102420731911474,10.8877818192483
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00456666666666667,0.10551518601614,11.2642686746297
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0111,0.258165638588331,7.10339264541133
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.00543333333333333,0.125649361530985,9.42967793518887
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0699,1.72852381464359,5.26467431051787
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0508666666666667,1.23263327948304,5.55322814239708
"Publication Bias","PET","Alternative",0.125,0.2966,2.95166334944555,4.49817136071861
"Publication Bias","PEESE","Alternative",0.125,0.404533333333333,4.75548589341693,4.6269802038759
