"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.4391,0.782848992690319,4.17342456689437
"Effect","Normal(0, 0.71)","Alternative",0.5,0.5609,1.27738556137554,4.17342456689437
"Heterogeneity","Spike(0)","Null",0.5,0.724133333333333,2.62493958434026,2.00129536678999
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.275866666666667,0.380961148959676,2.00129536678999
"Publication Bias","None","Null",0.5,0.466633333333333,0.874882819823761,2.76262898221889
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0309,0.73336085027345,3.40676710116415
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0139666666666667,0.325783442074304,5.07848158196373
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0236,0.555919705038919,3.85303761745864
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0236666666666667,0.557528166609764,3.91142646278406
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.107366666666667,2.76645879233728,2.50861994927125
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.127966666666667,3.37513856503956,2.78111268455466
"Publication Bias","PET","Alternative",0.125,0.162633333333333,1.35953982723618,3.18964494391772
"Publication Bias","PEESE","Alternative",0.125,0.0432666666666667,0.316563305692983,3.40259043115178
