"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.224133333333333,0.288881251074068,6.82847943874992
"Effect","Normal(0, 0.71)","Alternative",0.5,0.775866666666667,3.46162998215348,6.82847943874992
"Heterogeneity","Spike(0)","Null",0.5,0.4943,0.977456990310461,2.63471919899857
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.5057,1.02306291725673,2.63471919899856
"Publication Bias","None","Null",0.5,0.209533333333333,0.265075482837143,2.94993874649846
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.1156,3.00633197648123,3.02356622481895
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0672333333333333,1.65782796697995,3.17176971553204
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0323666666666667,0.7693341141617,3.7317824954529
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0924333333333333,2.3424909097587,3.00746009817416
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0850666666666667,2.13844360244827,3.80131674551425
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.2396,7.24723829563388,3.74544634018929
"Publication Bias","PET","Alternative",0.125,0.1277,1.02476212312278,6.65003457143498
"Publication Bias","PEESE","Alternative",0.125,0.0304666666666667,0.219968369662381,3.98094334581168
