"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.965,27.5714285714286,6.80087965459664
"Effect","Normal(0, 0.71)","Alternative",0.5,0.035,0.0362694300518135,6.80087965459665
"Heterogeneity","Spike(0)","Null",0.5,0.9491,18.6463654223969,3.82517777957954
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.0509,0.0536297545042672,3.82517777957954
"Publication Bias","None","Null",0.5,0.0661666666666667,0.0708548991611637,3.12634650409079
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00456666666666667,0.10551518601614,8.81662942972001
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0023,0.0530219504861181,12.5912310637316
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.00493333333333333,0.114029210773148,8.93331977856527
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.00473333333333333,0.109384419586041,8.63439999994446
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0311333333333333,0.739076584325329,4.08651151538905
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0330333333333333,0.78572167258437,3.53558618315878
"Publication Bias","PET","Alternative",0.125,0.425,5.17391304347826,2.5474931708088
"Publication Bias","PEESE","Alternative",0.125,0.428133333333333,5.24061552809513,2.56534609120272
