"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.588033333333333,1.42738085605632,5.43303504864409
"Effect","Normal(0, 0.71)","Alternative",0.5,0.411966666666667,0.700583867127714,5.43303504864409
"Heterogeneity","Spike(0)","Null",0.5,0.6626,1.963841138115,2.027513226888
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.3374,0.509206157561123,2.027513226888
"Publication Bias","None","Null",0.5,0.219933333333333,0.281941714383386,4.15492225592989
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0388,0.928422804827299,3.84795298163498
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0273,0.645522771666495,4.1339390131466
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0613333333333333,1.50284090909091,2.91078039877497
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.1438,3.86288250408783,2.69838990268451
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0625666666666667,1.53507804999467,3.23833090753294
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.141866666666667,3.80236171535115,2.94725209648973
"Publication Bias","PET","Alternative",0.125,0.263466666666667,2.50398262128892,3.1058353367556
"Publication Bias","PEESE","Alternative",0.125,0.0409333333333333,0.298762685944668,3.6256849558633
