"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.813533333333333,4.36288880943868,5.34587431337409
"Effect","Normal(0, 0.71)","Alternative",0.5,0.186466666666667,0.229205932967303,5.34587431337409
"Heterogeneity","Spike(0)","Null",0.5,0.00243333333333333,0.00243926888762656,20.6511754200634
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.997566666666667,409.958904109589,20.6511754200638
"Publication Bias","None","Null",0.5,0.646866666666667,1.8317915801397,2.80884677100003
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0296666666666667,0.703194778426658,3.92784635336921
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0237333333333333,0.559136847855777,5.19074988800805
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0299,0.708895990104113,3.74574515175675
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0146,0.34077531966714,5.24256912792825
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.101333333333333,2.59347181008902,4.3760055240301
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0903666666666667,2.28491333504342,6.04625085781522
"Publication Bias","PET","Alternative",0.125,0.0426666666666667,0.311977715877437,3.53596107061858
"Publication Bias","PEESE","Alternative",0.125,0.0208666666666667,0.149179546537754,4.62927009254384
