"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.351266666666667,0.541465419792416,4.21074465337854
"Effect","Normal(0, 0.71)","Alternative",0.5,0.648733333333333,1.84684000759157,4.21074465337854
"Heterogeneity","Spike(0)","Null",0.5,0.00136666666666667,0.00136853700056744,18.9088653652252
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.998633333333333,730.707317073171,18.9088653652257
"Publication Bias","None","Null",0.5,0.292266666666667,0.412961567445365,3.87567707188452
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0127666666666667,0.297430529763312,5.48408381288362
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0053,0.122549512415804,8.76691917060301
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.015,0.350253807106599,5.3319921608169
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0096,0.222940226171244,6.60681819487453
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.226633333333333,6.74009740959441,3.43729230807726
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.216,6.33673469387755,3.58992899998796
"Publication Bias","PET","Alternative",0.125,0.186866666666667,1.60867426416332,3.77692411023939
"Publication Bias","PEESE","Alternative",0.125,0.0355666666666667,0.258148135347181,4.08571006514718
