"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.718166666666667,2.54819633353046,2.68958119742828
"Effect","Normal(0, 0.71)","Alternative",0.5,0.281833333333333,0.392434439545138,2.68958119742828
"Heterogeneity","Spike(0)","Null",0.5,0,0,NA
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,1,Inf,NA
"Publication Bias","None","Null",0.5,0.0215,0.0219724067450179,8.66145305873767
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.000366666666666667,0.00843642668978626,30.1583540918654
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.000966666666666667,0.0222548463514731,20.0399766960095
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0624666666666667,1.53246106805091,4.37644889373545
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0282,0.667421280098786,5.70000949797681
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.5256,25.4822934232715,3.53868434540464
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.319233333333333,10.7854379865838,3.66099857216348
"Publication Bias","PET","Alternative",0.125,0.0326,0.23589001447178,9.35080368718939
"Publication Bias","PEESE","Alternative",0.125,0.00906666666666667,0.0640473627556513,9.06890230582296
