"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.650066666666667,1.85768717851019,4.27821194054398
"Effect","Normal(0, 0.71)","Alternative",0.5,0.349933333333333,0.538303763716542,4.27821194054398
"Heterogeneity","Spike(0)","Null",0.5,0.0200666666666667,0.0204775835090822,5.97423673609035
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.979933333333333,48.8338870431894,5.97423673609035
"Publication Bias","None","Null",0.5,0.116033333333333,0.131264376484785,6.42700105759255
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0036,0.0830991569650743,10.7551597846972
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00223333333333333,0.0514816423345472,14.2031595264707
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.00553333333333333,0.127974793859355,10.2733191838057
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.00243333333333333,0.0561031844154108,12.4280774982864
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.140066666666667,3.74625939995348,3.83163344009593
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.115866666666667,3.014175840748,3.79916109354882
"Publication Bias","PET","Alternative",0.125,0.485166666666667,6.59663321463257,4.15725282966641
"Publication Bias","PEESE","Alternative",0.125,0.129066666666667,1.03735456215554,3.84805084067514
