"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.0625333333333333,0.0667045939411179,12.0481665442327
"Effect","Normal(0, 0.71)","Alternative",0.5,0.937466666666667,14.9914712153518,12.0481665442327
"Heterogeneity","Spike(0)","Null",0.5,3.33333333333333e-05,3.33344444814827e-05,100.003333444446
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.999966666666667,29999,100.003333444457
"Publication Bias","None","Null",0.5,0.3745,0.598721023181455,2.60298831681888
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0175333333333333,0.410463459320079,4.56921188215591
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0157666666666667,0.368442442510245,5.23872053213831
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0327666666666667,0.779163938380949,3.50333973410494
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0228333333333333,0.537438171584513,4.2181294361419
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.1068,2.75011195700851,3.48437732959329
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0968666666666667,2.46689303904924,4.65759215150799
"Publication Bias","PET","Alternative",0.125,0.221233333333333,1.98857167315841,4.73245592107681
"Publication Bias","PEESE","Alternative",0.125,0.1117,0.880220646178093,3.03814835949515
