"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.898033333333333,8.807126511932,2.93596234183929
"Effect","Normal(0, 0.71)","Alternative",0.5,0.101966666666667,0.11354441186296,2.93596234183929
"Heterogeneity","Spike(0)","Null",0.5,0.1693,0.203804020705429,2.57145912275243
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.8307,4.90667454223272,2.57145912275243
"Publication Bias","None","Null",0.5,0.6786,2.11138767890479,1.39278335499863
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0706,1.74714869808479,2.51826362887933
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0352,0.839137645107794,3.41205207779057
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0423333333333333,1.01670727462583,2.99264305542669
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0474666666666667,1.1461366181411,2.82818798729973
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0174333333333333,0.408080876615666,4.50912741266218
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0203666666666667,0.478172105209432,4.33448854229389
"Publication Bias","PET","Alternative",0.125,0.0517666666666667,0.382149260027419,3.38120760817483
"Publication Bias","PEESE","Alternative",0.125,0.0362333333333333,0.263168816795213,3.55844271930365
