"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.315466666666667,0.460849240358395,3.8947770027223
"Effect","Normal(0, 0.71)","Alternative",0.5,0.684533333333333,2.16990701606086,3.8947770027223
"Heterogeneity","Spike(0)","Null",0.5,0.5807,1.38492725971858,1.46176143743794
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.4193,0.722059583261581,1.46176143743794
"Publication Bias","None","Null",0.5,0.5231,1.09687565527364,2.73603222161679
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0324,0.770152955766846,3.29235919348736
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0174666666666667,0.408875016962953,4.71324323735374
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0273333333333333,0.646333104866347,3.66766463637668
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0255,0.601847101077476,3.87079931139381
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0364,0.868825238688252,3.29741974816666
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0416666666666667,1,3.40649386596181
"Publication Bias","PET","Alternative",0.125,0.218533333333333,1.95751578228971,3.72072993359022
"Publication Bias","PEESE","Alternative",0.125,0.0776,0.588898525585429,4.12581071076867
