"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.243566666666667,0.321993566297977,7.82298553972155
"Effect","Normal(0, 0.71)","Alternative",0.5,0.756433333333333,3.10565211441084,7.82298553972155
"Heterogeneity","Spike(0)","Null",0.5,0.000533333333333333,0.000533617929562433,26.4535069194488
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.999466666666667,1874,26.4535069194462
"Publication Bias","None","Null",0.5,0.5688,1.3191094619666,4.85769465784841
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0120333333333333,0.280137656466143,5.7715718847794
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.00363333333333333,0.083871399417885,10.9099779858998
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0109,0.253462743908604,5.74039631622621
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.00446666666666667,0.10319426772919,9.65125440392914
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0336666666666667,0.801310796826492,4.66901484481862
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0252666666666667,0.596197250530059,5.76497198428734
"Publication Bias","PET","Alternative",0.125,0.2384,2.19117647058824,5.35112283457848
"Publication Bias","PEESE","Alternative",0.125,0.102833333333333,0.802340702210663,3.41685124519514
