"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.634533333333333,1.73622765414082,3.19245456452096
"Effect","Normal(0, 0.71)","Alternative",0.5,0.365466666666667,0.575961336415213,3.19245456452096
"Heterogeneity","Spike(0)","Null",0.5,0.6596,1.93772032902468,1.59232570578242
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.3404,0.516070345664039,1.59232570578242
"Publication Bias","None","Null",0.5,0.221733333333333,0.284906630118211,2.68505105001284
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0206,0.483765570757607,4.23989141944585
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0198666666666667,0.466195075499932,4.44358503846103
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0405666666666667,0.972483757773686,3.05807166256947
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0438333333333333,1.05438382429841,3.02023667069984
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.1623,4.45612987943178,2.18826816804259
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.212733333333333,6.2150055042764,2.07561979317252
"Publication Bias","PET","Alternative",0.125,0.1944,1.68917576961271,2.36275286158541
"Publication Bias","PEESE","Alternative",0.125,0.0839666666666667,0.641643317200975,2.84075960454999
