"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.651866666666667,1.87246265798545,2.9038741601992
"Effect","Normal(0, 0.71)","Alternative",0.5,0.348133333333333,0.534056044180814,2.9038741601992
"Heterogeneity","Spike(0)","Null",0.5,0.682833333333333,2.15291644771414,1.69537139945158
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.317166666666667,0.464486209421528,1.69537139945158
"Publication Bias","None","Null",0.5,0.6376,1.75938189845475,1.61633471767679
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.0201666666666667,0.473379826501106,4.20766724409778
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0101,0.234670168703909,5.92994013173817
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0280666666666667,0.664174497564991,3.56145346773037
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.016,0.373983739837398,4.74901297849362
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0633333333333333,1.55516014234875,2.57076732550675
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.0471333333333333,1.13768977821311,3.00179793086951
"Publication Bias","PET","Alternative",0.125,0.1309,1.05430905534461,2.55035700349777
"Publication Bias","PEESE","Alternative",0.125,0.0467,0.342914087905172,3.45640873212184
